#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1021009 万荣 运城 山西 中型县城 5
408 2804 2804                        2
408 2814 2815                                                      1 1
409 2804 2806                        2 2 2
409 2812 2815                                                1 1 1 1
410 2804 2808                        2 2 2 2 2
410 2810 2816                                          1 1 1 1 1 1 1
411 2803 2816                     2 2 2 2 2 1 1 1 1 1 1 1 1 1
412 2803 2817                     2 2 2 2 2 1 1 1 1 1 1 1 1 1 1
413 2803 2818                     2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1
414 2802 2819                  2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
415 2801 2822               2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
416 2801 2823               2 2 2 2 2 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1
417 2801 2825               2 2 2 2 2 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1
418 2800 2825            2 2 2 2 2 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 1
419 2800 2824            2 2 2 2 2 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1
420 2800 2824            2 2 2 2 2 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 3 3 3 3
421 2799 2823         2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
422 2799 2823         2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3
423 2799 2822         2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3
424 2798 2822      2 2 2 2 2 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 1 1
425 2798 2821      2 2 2 2 2 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 1 1
426 2798 2821      2 2 2 2 2 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 1
427 2797 2820   2 2 2 2 2 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
428 2797 2820   2 2 2 2 2 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 1 1
429 2797 2813   2 2 2 2 2 1 1 1 1 1 1 1 1 1 3 3 3
429 2815 2819                                                         1 3 3 1 1
430 2800 2811            2 1 1 1 1 1 1 1 1 1 1 1
430 2816 2818                                                            1 1 1
431 2801 2809               1 1 1 1 1 1 1 1 1
431 2817 2817                                                               1
432 2802 2807                  1 1 1 1 1 1
433 2803 2805                     1 1 1
