#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020805 临县 吕梁 山西 中型县城 5
182 2810 2811                                                                                        2 2
183 2810 2812                                                                                        2 2 2
184 2807 2813                                                                               2 2 2 2 2 1 1
184 2832 2832                                                                                                                                                          3
185 2807 2814                                                                               2 2 2 2 2 1 1 1
185 2830 2833                                                                                                                                                    3 3 3 3
186 2806 2815                                                                            2 2 2 2 2 1 1 1 1 1
186 2828 2834                                                                                                                                              3 3 3 3 3 3 3
187 2806 2816                                                                            2 2 2 2 2 1 1 1 1 1 1
187 2826 2835                                                                                                                                        3 3 3 3 3 3 3 3 3 3
188 2806 2817                                                                            2 2 2 2 2 1 1 1 1 1 1 1
188 2825 2836                                                                                                                                     3 3 3 3 3 3 3 3 3 3 3 3
189 2807 2818                                                                               2 2 2 2 2 1 1 1 1 1 1 1
189 2822 2837                                                                                                                            3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
190 2804 2841                                                                      2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5
191 2803 2841                                                                   2 2 2 2 2 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5
192 2804 2840                                                                      2 2 2 2 2 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5
193 2804 2840                                                                      2 2 2 2 2 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5
194 2805 2840                                                                         2 2 2 2 2 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 5 5 5
195 2805 2839                                                                         2 2 2 2 2 1 1 1 3 3 5 5 5 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5
196 2804 2839                                                                      2 2 2 2 2 1 1 1 3 3 5 5 5 5 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 5 5 5 5
197 2804 2839                                                                      2 2 2 2 2 1 1 1 3 3 5 5 5 5 5 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 5 5 5 5
198 2803 2838                                                                   2 2 2 2 2 1 1 1 3 3 3 5 5 5 5 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 5 5 5
199 2802 2838                                                                2 2 2 2 2 1 1 1 1 1 3 3 5 5 5 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5
200 2801 2838                                                             2 2 2 2 2 1 1 1 1 1 1 3 3 5 5 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 5 5 5
201 2801 2837                                                             2 2 2 2 2 1 1 1 1 1 1 3 3 3 3 3 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 3 3 3 5 5
202 2801 2837                                                             2 2 2 2 2 1 1 1 1 1 1 3 3 3 3 3 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 3 3 5 5 5
203 2800 2837                                                          2 2 2 2 2 1 1 1 1 1 1 1 3 3 3 3 3 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 3 3 5 5 5
