#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1021011 临猗 运城 山西 小型县城 3
429 2814 2814                                                                    1
430 2796 2799              2 2 2 2
430 2812 2815                                                              1 1 1 1
431 2796 2800              2 2 2 2 2 
431 2810 2816                                                        1 1 1 1 1 1 1
432 2796 2801              2 2 2 2 2 1
432 2808 2818                                                  1 1 1 1 1 1 1 1 1 1 1
433 2795 2802           2 2 2 2 2 1 1 1
433 2806 2818                                            1 1 1 1 1 1 1 1 1 1 1 1 1
434 2795 2818           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
435 2795 2819           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
436 2795 2819           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
437 2795 2819           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
438 2795 2820           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
439 2795 2820           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
440 2795 2820           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
441 2795 2821           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
442 2795 2821           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1
443 2795 2821           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1
444 2795 2822           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1
445 2795 2822           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1
446 2795 2822           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1
447 2795 2823           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
448 2795 2823           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
449 2795 2823           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
450 2795 2824           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
451 2795 2821           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
452 2795 2819           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
453 2795 2817           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
454 2795 2813           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
