#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020608 保德 朔州 山西 小型县城 4
133 2829 2830                                                                       2 2
134 2829 2831                                                                       2 2 2
135 2829 2832                                                                       2 2 2 2
136 2828 2833                                                                    2 2 2 2 2 1
137 2828 2834                                                                    2 2 2 2 2 1 1
138 2827 2835                                                                 2 2 2 2 2 1 1 1 1
139 2826 2836                                                              2 2 2 2 2 1 1 1 1 1 1
140 2825 2837                                                           2 2 2 2 2 1 1 1 1 1 1 1 1
141 2824 2838                                                        2 2 2 2 2 1 1 1 1 1 1 1 1 1 1
142 2823 2839                                                     2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
143 2822 2841                                                  2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
144 2821 2840                                               2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
145 2819 2839                                         2 2 2 2 2 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1
146 2817 2838                                   2 2 2 2 2 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1
147 2818 2837                                      2 2 2 2 2 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1
148 2819 2836                                         2 2 2 2 2 1 1 1 1 4 6 6 6 4 1 1 1 1
149 2820 2835                                            2 2 2 2 2 1 1 1 4 4 4 4 4 1 1 1
150 2821 2834                                               2 2 2 2 2 1 1 1 1 1 1 1 1 1
151 2820 2833                                            2 2 2 2 2 1 1 1 1 1 1 1 1 1
152 2819 2832                                         2 2 2 2 2 1 1 1 1 1 1 1 1 1
153 2818 2831                                      2 2 2 2 2 1 1 1 1 1 1 1 1 1
154 2817 2831                                   2 2 2 2 2 1 1 1 1 1 1 1 1 1 1
155 2816 2830                                2 2 2 2 2 1 1 1 1 1 1 1 1 1 1
156 2815 2830                             2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1
157 2815 2829                             2 2 2 2 2 1 2 2 2 2 2 2 2 2 2
158 2816 2827                                2 2 2 2 2 2 2 2 2 2 2 2
159 2816 2825                                2 2 2 2 2 1 1 1 1 1
160 2817 2823                                   2 2 2 2 2 1 1
161 2817 2820                                   2 2 2 2
162 2818 2818                                      2 2
