#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020803 兴县 吕梁 山西 中型县城 5
157 2830 2831                                                                                                   2 2
158 2828 2831                                                                                             2 2 2 2
159 2826 2832                                                                                       1 1 1 1 1 3 3
160 2824 2833                                                                                 1 1 1 1 1 1 1 1 3 3
161 2821 2834                                                                        2 1 1 1 1 1 1 1 1 1 1 3 3 3
162 2819 2835                                                                  2 2 2 1 1 1 1 1 1 1 1 1 1 3 3 3 3
163 2818 2836                                                               2 2 2 2 2 1 1 1 1 1 1 1 3 3 3 3 3 3 3
164 2818 2837                                                               2 2 2 2 2 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3
165 2818 2840                                                               2 2 2 2 2 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 5 5
166 2817 2841                                                            2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5 5 5 5
167 2817 2842                                                            2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5 5 5
168 2817 2843                                                            2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 5 5 5 5 5
169 2816 2844                                                         2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5
170 2816 2845                                                         2 2 2 2 2 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 5 5 5 5 5 5
171 2816 2845                                                         2 2 2 2 2 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 5 5 5 5 5 5
172 2815 2844                                                      2 2 2 2 2 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 5 5 5 5 5
173 2815 2844                                                      2 2 2 2 2 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 5 5 5 5 5
174 2815 2843                                                      2 2 2 2 2 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 5 5 5 5 5
175 2815 2844                                                      2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5
176 2815 2845                                                      2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 5 5 5 5 5 5 5 5
177 2813 2846                                                2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 5 5 5 5 5 5 5 5
178 2813 2847                                                2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5
179 2812 2848                                             2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 5 5 5 5 5 5 5 5 5 5
180 2812 2847                                             2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 5 5 5 5 5 5 5 5 5
181 2811 2846                                          2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 5 5 5 5 5 5 5 5 5
182 2812 2845                                             2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5
183 2813 2844                                                2 2 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5
184 2814 2831                                                   1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 
184 2833 2844                                                                                                            3 3 3 3 3 3 3 3 5 5 5 5
185 2815 2829                                                      1 1 1 1 1 1 1 1 3 3 3 3 3 3 3
185 2834 2844                                                                                                               3 3 3 3 3 3 3 5 5 5 5          
186 2816 2827                                                         1 1 1 1 1 1 3 3 3 3 3 3                     
186 2835 2844                                                                                                                  3 3 3 3 3 3 5 5 5 5
187 2817 2825                                                            1 1 1 1 1 1 3 3 3
187 2836 2843                                                                                                                     3 3 3 3 3 5 5 5
188 2818 2824                                                               1 1 1 1 3 3 3
188 2837 2842                                                                                                                        3 3 3 3 3 3
189 2819 2821                                                                  1 1 1
189 2838 2841                                                                                                                           3 3 3 3
