#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020908 古县 临汾 山西 小型县城  4
324 2885 2885                                                3
325 2883 2886                                          3 3 3 3
326 2881 2887                                    5 5 3 3 3 3 3
327 2879 2888                              5 5 5 5 3 3 3 3 3 3
328 2877 2889                        5 5 5 5 5 5 3 3 3 3 3 3 3
329 2875 2890                  5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3
330 2873 2891            5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3
331 2873 2891            5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3
332 2873 2891            5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3
333 2873 2890            5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3
334 2873 2890            5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3
335 2873 2890            5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3
336 2873 2890            5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3
337 2873 2889            5 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3
338 2873 2889            5 5 5 5 5 1 5 1 1 1 1 3 3 3 3 3 3
339 2873 2889            5 5 5 5 1 1 1 1 1 1 1 1 1 3 3 3 3
340 2873 2889            5 5 5 5 1 1 1 1 1 1 1 1 1 3 3 3 3
341 2873 2889            5 5 5 1 1 1 1 1 1 1 1 1 1 3 3 3 3
342 2873 2890            5 5 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
343 2873 2890            5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
344 2873 2890            5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
345 2873 2890            1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
346 2873 2891            1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 3 3 3
347 2873 2891            1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 3 3 3
348 2873 2891            1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 3 3
349 2873 2891            1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 3 3
350 2873 2891            1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 3 3
351 2871 2891      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
352 2871 2890      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
353 2871 2890      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
354 2871 2890      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
355 2871 2890      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
356 2873 2890            1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
357 2875 2890                  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
358 2877 2890                        1 1 1 1 1 1 1 1 1 1 1 1 1 1
359 2879 2889                              1 1 1 1 1 1 1 1 1 1 1
360 2880 2889                                 1 1 1 1 1 1 1 1 1 1
361 2882 2889                                       1 1 1 1 1 1 1 1
362 2884 2889                                             1 1 1 1 1 1
363 2886 2889                                                   1 1 1 1
364 2888 2889                                                         1 1
