#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020411 壶关 长治 山西 大型县城 6
343 2953 2954        1 1
344 2953 2955        1 1 1
345 2953 2956        1 1 1 1
346 2953 2956        1 1 1 1 
347 2953 2957        1 1 1 1 1
348 2954 2958           1 1 1 1 1
349 2954 2959           1 1 1 1 1 1
350 2953 2960        1 1 1 1 1 1 1 1
351 2953 2961        1 1 1 1 1 1 1 1 1
352 2952 2962     1 1 1 1 1 1 1 1 1 1 1
353 2952 2963     1 1 1 1 1 1 1 1 1 1 1 1
354 2952 2964     1 1 1 1 1 1 1 1 1 1 1 1 1
355 2952 2965     1 1 1 1 1 1 1 1 1 1 1 1 1 1
356 2952 2966     1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
357 2952 2966     1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
358 2952 2966     1 1 4 4 4 4 4 1 1 1 1 1 1 1 1
359 2952 2966     1 1 4 6 6 6 4 1 1 1 1 1 1 1 1
360 2952 2969     1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 3
361 2952 2971     1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 3 3 3
362 2952 2973     1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
363 2952 2974     1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5
364 2952 2975     1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 5 5 5
365 2952 2977     1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5 5 5 5 5 5
366 2952 2979     1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5
367 2952 2981     1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5
368 2952 2985     1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
369 2952 2988     1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
370 2952 2991     1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
371 2952 2994     1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
372 2952 2997     1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
373 2952 2998     1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
374 2952 2998     3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
375 2952 2998     3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
376 2952 2997     3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
377 2952 2997     3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
378 2960 2996                             3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
379 2968 2996                                                     3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
380 2974 2996                                                                       5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
381 2980 2996                                                                                         5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
382 2986 2996                                                                                                           5 5 5 5 5 5 5 5 5 5 5
383 2989 2996                                                                                                                    5 5 5 5 5 5 5 5
384 2992 2996                                                                                                                             5 5 5 5 5
385 2995 2996                                                                                                                                      5 5
