#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020202 大同 大同 山西 大型县城 6
35 2973 2975                                                                                                          3 3 3 
36 2971 2976                                                                                                    2 2 3 3 3 3  
37 2969 2977                                                                                              2 2 2 1 1 1 1 1 1
38 2968 2978                                                                                           2 2 2 2 1 1 1 1 1 1 1
39 2967 2979                                                                                        1 2 2 2 2 1 1 1 1 1 1 1 1
40 2966 2980                                                                                     1 1 1 2 2 2 2 1 1 1 1 1 1 1 1
41 2966 2981                                                                                     1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1
42 2966 2982                                                                                     1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1
43 2966 2984                                                                                     1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 
44 2966 2986                                                                                     1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
45 2966 2988                                                                                     1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
46 2966 2990                                                                                     1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
47 2966 2992                                                                                     1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
48 2965 2994                                                                                  1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2
49 2965 2996                                                                                  1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2
50 2965 2997                                                                                  1 1 1 1 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1 1
51 2965 2999                                                                                  1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 1 1 1
52 2965 3000                                                                                  1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1
53 2964 3001                                                                               1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
54 2964 3002                                                                               1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
55 2964 3003                                                                               1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
56 2964 3004                                                                               2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
57 2965 3004                                                                               2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3
58 2966 3004                                                                                  2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3
59 2966 3004                                                                                  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3
60 2967 3004                                                                                     1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3
61 2967 3004                                                                                     1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3
62 2967 3003                                                                                     1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
63 2968 3002                                                                                        1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
64 2968 3001                                                                                        1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
65 2969 3000                                                                                           1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 1 1
66 2969 3000                                                                                           1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 1 1 1 1 1 1 3 3 3 3 3 1 1
67 2970 3000                                                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 1 3 3 3 3 3 3 1 1
68 2971 3000                                                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 3 1 1
69 2971 3001                                                                                                 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 3 1 1
70 2972 3002                                                                                                    1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 3 3 3 1 1
71 2971 3003                                                                                                 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 3 5 3 3 3 1 1
72 2971 3006                                                                                                 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 
73 2970 3007                                                                                              1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1
74 2969 2980                                                                                           1 1 1 1 1 3 3 3 3 3 3 3
75 2968 2979                                                                                        1 1 1 3 3 1 3 3 3 3 3 3
76 2968 2978                                                                                        1 1 3 3 3 3 3 3 3 3 3
77 2967 2977                                                                                     1 1 3 3 3 3 3 3 3 3 3   
78 2967 2976                                                                                     1 1 3 3 3 3 3 3 3 3 
79 2967 2975                                                                                     1 3 3 3 3 3 3 3 3
80 2967 2973                                                                                     3 3 3 3 3 3 3
81 2967 2972                                                                                     3 3 3 3 3 3
82 2966 2970                                                                                  1 3 3 3 3
83 2966 2969                                                                                  1 1 1 1
84 2966 2968                                                                                  2 2 2
85 2966 2967                                                                                  2 2
86 2966 2968                                                                                  1 1 1
87 2966 2969                                                                                  1 1 1 1
88 2966 2970                                                                                  1 1 1 1 1


