#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020110 孝义 太原 山西 大型县城 7
260 2844 2844                    5
261 2844 2845                    5 5
262 2843 2847                 5 5 5 5 5
263 2843 2849                 5 5 5 5 5 5 5
264 2842 2851              5 5 5 5 5 5 5 5 5 1
265 2842 2853              5 5 5 5 5 5 5 5 5 1 1 1
266 2841 2855           5 5 5 5 5 5 5 5 5 1 1 1 1 1 1
267 2841 2857           5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1
268 2840 2859        5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1
269 2840 2863        5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
270 2839 2867     5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2
271 2839 2870     5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1
272 2838 2872  5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1
273 2840 2873        5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1
274 2842 2873              5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1
275 2844 2872                    5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1
276 2845 2871                       5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1
277 2846 2871                          1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 2 2 2 1 1 1 1 1 1
278 2847 2870                             1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 2 2 2 1 1 1 1 1
279 2848 2870                                1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 2 2 2 1 1 1 1 1
280 2849 2869                                   1 1 1 1 1 4 6 6 6 4 1 1 1 1 2 2 2 1 1 1 1
281 2850 2869                                      1 1 1 1 4 4 4 4 4 1 1 1 1 2 2 2 1 1 1 1
282 2851 2868                                         1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1
283 2851 2868                                         1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1
284 2852 2867                                            1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1
285 2852 2867                                            1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1
286 2853 2866                                               1 1 1 1 1 1 1 1 1 2 2 2 1 1
287 2853 2866                                               1 1 1 1 1 1 1 1 2 2 2 1 1 1
288 2854 2865                                                  1 1 1 1 1 1 1 2 2 2 1 1
289 2854 2864                                                  1 1 1 1 1 1 1 2 2 2 1
290 2855 2860                                                     1 1 1 1 1 1
