#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020909 安泽 临汾 山西 中型县城 5
331 2892 2892                           3
332 2892 2893                           3 3
333 2891 2894                        3 3 3 3
334 2891 2895                        3 3 3 3 3
335 2891 2896                        3 3 3 3 3 3
336 2891 2897                        3 3 3 3 3 3 3
337 2890 2898                     3 3 3 3 3 3 3 3 3
338 2890 2899                     3 3 3 3 3 3 3 3 3 3
339 2890 2900                     3 3 3 3 3 3 3 3 3 3 3
340 2890 2901                     3 3 3 3 3 3 3 3 3 3 3 3
341 2890 2908                     3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 2 2 3 3
342 2891 2909                        3 3 3 3 3 3 3 3 3 3 3 3 1 1 2 2 3 3 3
343 2891 2910                        3 3 3 3 3 3 3 3 3 3 3 3 1 1 2 2 3 3 3 3
344 2891 2912                        3 3 3 3 3 3 3 3 3 3 3 1 1 1 2 2 3 3 3 3 3 3
345 2891 2912                        3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 2 2 3 3 3 3 3
346 2892 2913                           3 3 3 3 3 3 3 3 3 3 1 1 1 1 2 2 3 3 3 3 3 3
347 2892 2914                           3 3 3 3 3 3 3 3 3 3 3 1 1 1 2 2 3 3 3 3 3 3 3
348 2892 2915                           3 3 3 3 3 3 3 3 3 1 1 1 1 1 2 2 3 3 3 3 3 3 3 3
349 2892 2916                           3 3 3 3 3 3 3 3 3 3 1 1 1 1 2 2 3 3 3 3 3 3 3 3 3
350 2892 2917                           3 3 3 3 3 3 3 3 3 3 1 1 1 1 2 2 3 3 3 3 3 3 3 3 3 3
351 2892 2916                           3 3 3 3 3 3 3 3 3 3 1 1 1 1 2 2 3 3 3 3 3 3 3 3 3
352 2891 2915                        3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 2 2 3 3 3 3 3 3 3
353 2891 2914                        3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 2 2 3 3 3 3 3 3
354 2891 2913                        3 3 3 3 3 3 3 1 3 3 1 1 1 1 1 1 2 2 3 3 3 3 3
355 2891 2912                        3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 3 3 3
356 2891 2911                        3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 3 3
357 2891 2910                        3 3 3 1 1 1 1 4 4 4 4 4 1 1 1 1 2 2 3 3
358 2891 2909                        3 3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 2 2 3
359 2890 2908                     3 3 3 3 1 1 1 1 4 6 7 6 4 1 1 1 1 2 2
360 2890 2907                     3 3 3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 1
361 2890 2906                     3 3 3 3 1 1 1 1 4 4 4 4 4 1 1 1 1
362 2890 2906                     3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1
363 2890 2907                     3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1
364 2890 2907                     3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1
365 2891 2907                        3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1
366 2891 2907                        3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1
367 2892 2907                           3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1
368 2892 2908                           3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1
369 2892 2908                           3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1
370 2893 2908                              3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1
371 2894 2909                                 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1
372 2896 2909                                       3 3 3 3 3 3 3 3 3 3 3 1 1 1
373 2898 2907                                             3 3 3 3 3 3 3 3 3 1
374 2900 2905                                                   3 3 3 3 3 3
375 2902 2903                                                         3 3
