#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020611 岢岚 朔州 山西 小型县城 3
134 2851 2851                                                                          3
135 2850 2851                                                                       3 3
136 2849 2851                                                                    3 3 3
137 2848 2853                                                                 3 3 3 3 3 3
138 2847 2853                                                              3 3 3 3 3 3 3 
139 2846 2854                                                           3 3 3 3 3 3 3 3 3
140 2845 2855                                                        3 3 3 3 3 3 3 3 3 1 1
141 2844 2853                                                     3 3 3 3 3 3 3 3 1 1
142 2843 2854                                                  3 3 3 3 3 3 3 3 1 1 1 1
143 2842 2855                                               3 3 3 3 3 3 3 1 1 1 1 1 1 1
144 2841 2857                                            3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1
145 2840 2859                                         3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1
146 2839 2862                                      3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
147 2838 2865                                   3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5
148 2837 2866                                3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5
149 2836 2868                             3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5
150 2835 2870                          3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5
151 2834 2871                       3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5
152 2833 2871                    3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5
153 2832 2871                 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
154 2832 2871                 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
155 2831 2871              3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
156 2831 2871              3 3 3 3 3 3 3 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
157 2832 2871                 1 1 1 3 3 3 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
158 2832 2871                 2 2 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
159 2833 2871                    3 2 2 2 2 2 1 1 1 1 4 6 6 6 4 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
160 2834 2871                       3 3 3 3 3 1 1 1 1 4 4 4 4 4 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
161 2835 2871                          3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
162 2836 2871                             3 3 3 3 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
163 2837 2871                                3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
164 2838 2871                                   3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
165 2841 2871                                            5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
166 2842 2860                                               5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
166 2862 2871                                                                                                           5 5 5 5 5 5 5 5 5 5
167 2843 2859                                                  5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
167 2862 2871                                                                                                           5 5 5 5 5 5 5 5 5 5
168 2844 2858                                                     5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
168 2862 2869                                                                                                           5 5 5 5 5 5 5 5
169 2845 2855                                                        5 5 5 5 5 5 5 5 5 5 5
169 2863 2867                                                                                                              5 5 5 5 5
170 2846 2854                                                           5 5 5 5 5 5 5 5 5 
170 2864 2865                                                                                                                 5 5
171 2847 2853                                                              5 5 5 5 5 5 5
172 2849 2851                                                                    5 5 5                           
