#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020203 左云 大同 山西 中型县城 5
28 2942 2942                                                                                                            3
29 2941 2943                                                                                                         3 3 3
30 2940 2944                                                                                                      3 3 3 3 3 
31 2918 2919                                    5 5                                  
31 2939 2945                                                                                                   3 3 3 3 3 3 3
32 2919 2921                                       5 5 5               
32 2938 2947                                                                                                1 3 3 3 3 3 3 3 3 3
33 2920 2922                                          5 5 3
33 2937 2949                                                                                             1 1 3 3 3 3 3 3 3 3 3 3 3
34 2921 2924                                             5 5 5 3
34 2935 2951                                                                                       1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
35 2922 2926                                                5 5 3 3 3 
35 2933 2953                                                                                 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
36 2923 2927                                                   5 5 5 5 5
36 2931 2954                                                                           1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
37 2924 2953                                                      5 5 5 5 3 3 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
38 2924 2952                                                      5 5 5 5 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
39 2924 2951                                                      5 5 5 5 3 1 3 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3
40 2924 2949                                                      5 5 5 5 3 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3
41 2923 2947                                                   5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
42 2923 2945                                                   5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
43 2923 2944                                                   5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
44 2923 2943                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1
45 2923 2942                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
46 2924 2941                                                      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
47 2923 2940                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
48 2923 2939                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
49 2923 2939                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
50 2924 2940                                                      1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
51 2924 2941                                                      1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
52 2923 2942                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5
53 2923 2944                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5 3
54 2923 2945                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
55 2923 2946                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
56 2924 2948                                                      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3
57 2924 2949                                                      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3
58 2923 2948                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3
59 2923 2947                                                   1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3
60 2923 2945                                                   1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 3 3 3 3 3 3 3 3
61 2923 2944                                                   1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 3 3 3 3 3
62 2923 2943                                                   1 1 1 1 4 6 6 6 4 1 1 1 1 3 3 3 3 3 3 3 3
63 2923 2942                                                   1 1 1 1 4 4 4 4 4 1 1 1 1 1 3 3 3 3 3 3
64 2922 2943                                                1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3
65 2922 2944                                                1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3
66 2922 2945                                                1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
67 2922 2944                                                1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
68 2923 2943                                                   1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3
69 2924 2941                                                      1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
70 2926 2939                                                            1 1 1 3 3 3 3 3 3 3 3 3 3 3
71 2927 2938                                                               1 3 3 3 3 3 3 3 3 3 3 3
72 2928 2937                                                                  3 3 3 3 3 3 3 3 3 3
73 2930 2935                                                                        3 3 3 3 3 3

