#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020306 左权 阳泉 山西 中型县城 5
265 2959 2959                                                                   3
266 2957 2964                                                             3 3 3 3 3 3 3 3
267 2955 2968                                                       3 3 3 3 3 3 3 3 3 3 1 1 1 1
268 2952 2972                                              3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1
269 2949 2976                                     3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3
270 2946 2980                            1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3
271 2941 3000             3 3 3 3 3 3 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 2 2 5 5 5 5 5
272 2941 3000             3 3 3 3 3 3 3 3 3 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 2 2 5 5 5 5
273 2942 3000                3 3 3 3 3 3 3 3 3 3 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 2 2 5 5 5 5
274 2942 3000                3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 2 2 5 5 5 5
275 2943 3000                   3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 2 2 5 5 5 5
276 2943 3000                   3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 2 2 5 5 5 5
277 2944 3000                      3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 5 5 5
278 2944 3000                      3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 5 5 5
279 2945 3000                         3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 5 5 5
280 2946 3000                            3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 5 5 5
281 2947 3000                               3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 5 5 5
282 2948 3000                                  3 3 3 3 3 3 3 3 3 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 5 5
283 2949 3000                                     3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 5 5
284 2950 3000                                        3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 2
285 2951 3000                                           3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 2
286 2956 3000                                                          3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
287 2957 3000                                                             3 3 3 3 3 3 3 3 3 1 1 3 3 3 1 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
288 2958 3000                                                                3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
289 2959 3000                                                                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
290 2961 3000                                                                         3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
291 2963 2996                                                                               3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
292 2965 2996                                                                                     3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
293 2967 2996                                                                                           3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
294 2969 2996                                                                                                 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
295 2971 2995                                                                                                       5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
296 2973 2995                                                                                                             5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
297 2975 2995                                                                                                                   5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
298 2977 2994                                                                                                                         5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
299 2979 2994                                                                                                                               5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
300 2981 2994                                                                                                                                     5 5 5 5 5 5 5 5 5 5 5 5 5 5
