#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020113 平遥 太原 山西 大型县城 6
254 2884 2884                                        1
255 2883 2885                                     1 1 1
256 2882 2886                                  1 1 1 1 1
257 2883 2887                                     1 1 1 1 1
258 2884 2888                                        1 1 1 1 1
259 2883 2889                                     1 1 1 1 1 1 1
260 2882 2890                                  1 1 1 1 1 1 1 1 1
261 2881 2891                               1 1 1 4 4 4 4 4 1 1 1
262 2880 2892                            1 1 1 1 4 6 6 6 4 1 1 1 1
263 2880 2893                            1 1 1 1 4 6 7 6 4 1 1 1 1 1
264 2879 2894                         1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1
265 2879 2895                         1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1
266 2879 2896                         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
267 2878 2897                      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
268 2878 2898                      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
269 2877 2899                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
270 2877 2900                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
271 2884 2901                                        1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
272 2884 2902                                        1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 5
273 2884 2903                                        1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5 5
274 2884 2904                                        1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5 5 5 5
275 2884 2905                                        1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5 5 5 5 5 5
276 2884 2905                                        1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 5 5 5 5 5 5
277 2884 2906                                        1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5
278 2884 2906                                        3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5
279 2884 2906                                        3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5
280 2884 2906                                        3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5
281 2884 2906                                        3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5
282 2884 2907                                        3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
283 2884 2907                                        3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
284 2884 2907                                        3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
285 2884 2907                                        3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
286 2884 2907                                        3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
