#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020108 文水 太原 山西 中型县城 5
235 2857 2857          5
236 2857 2859          5 5 5
237 2857 2861          5 5 5 5 5
238 2857 2863          5 5 5 5 5 1 1
239 2858 2887             5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2
240 2858 2887             5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1
241 2858 2887             5 5 5 5 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1
242 2858 2888             5 5 5 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1
243 2858 2888             5 5 5 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1
244 2859 2889                5 5 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1
245 2859 2889                5 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1
246 2859 2889                5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1
247 2858 2888             5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1
248 2857 2888          5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1
249 2876 2887                                                                   1 2 2 2 1 1 1 1 1 1 1 1
250 2876 2887                                                                   2 2 2 1 1 1 1 1 1 1 1 1
251 2877 2886                                                                      2 2 1 1 1 1 1 1 1 1
252 2878 2885                                                                         1 1 1 1 1 1 1 1
253 2879 2884                                                                            1 1 1 1 1 1
254 2879 2883                                                                            1 1 1 1 1
255 2880 2882                                                                               1 1 1
256 2880 2881                                                                               1 1
