#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1021004 新绛 运城 山西 中型县城 5
381 2835 2836                                              3 3
382 2834 2836                                           3 3 3
383 2833 2837                                        3 3 3 3 1
384 2832 2837                                     3 3 3 3 3 1
385 2831 2838                                  3 3 3 3 3 1 1 1
386 2830 2838                               3 3 3 3 3 1 1 1 1
387 2829 2839                            3 3 3 3 1 1 1 1 1 1 1
388 2828 2839                         3 3 1 1 1 1 1 1 1 1 1 1
389 2829 2840                            1 1 1 1 1 1 1 1 1 1 1 1
390 2830 2840                               1 1 1 1 1 1 1 1 1 1 1
391 2831 2844                                  1 1 1 1 1 1 1 1 1 1 1 1 2 2
392 2831 2844                                  1 1 1 1 1 1 1 1 1 1 1 1 2 2
393 2831 2844                                  1 1 1 1 1 1 1 1 1 1 1 1 2 2
394 2831 2844                                  1 1 1 1 1 1 1 1 1 1 1 1 2 2
395 2831 2844                                  1 1 1 1 1 4 4 4 4 4 1 1 2 2
396 2831 2844                                  1 1 1 1 1 4 6 6 6 4 1 2 2 2
397 2831 2842                                  1 1 1 1 1 4 6 7 6 4 1 2
398 2831 2841                                  1 1 1 1 1 4 6 6 6 4 2
399 2831 2841                                  1 1 1 1 1 4 4 4 4 4 2
400 2830 2841                               1 1 1 1 1 1 1 1 1 1 1 2
401 2830 2839                               1 1 1 1 1 1 1 1 2 2
402 2830 2838                               1 1 1 1 1 2 2 2 2
403 2830 2837                               1 1 2 2 2 2 2 2
404 2829 2836                            2 2 2 2 2 2 2 2
405 2829 2835                            2 2 2 2 2 2 1
406 2829 2835                            2 2 2 1 1 1 1
407 2829 2835                            1 1 1 1 1 1 1
408 2828 2835                         1 1 1 1 1 1 1 1
409 2828 2835                         1 1 1 1 1 1 1 1
410 2828 2834                         1 1 1 1 1 1 1
411 2828 2833                         1 1 1 1 1 1
412 2828 2832                         1 1 1 1 1
413 2828 2831                         1 1 1 1
414 2827 2830                      1 1 1 1
415 2827 2829                      1 1 1
416 2827 2828                      1 1
417 2827 2827                      1
