#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020806 方山 吕梁 山西 小型县城 3
187 2844 2844                                                                                            5
188 2843 2846                                                                                         5 5 3 3
189 2842 2848                                                                                      5 5 5 3 3 1 1
190 2842 2850                                                                                      5 5 3 3 1 1 1 1 1
191 2842 2852                                                                                      5 3 3 3 1 1 1 1 3 3 3
192 2841 2854                                                                                   5 3 3 3 3 1 1 3 3 3 3 3 3 3
193 2841 2856                                                                                   5 3 3 3 1 1 1 3 3 3 5 5 5 3 3 3
194 2841 2856                                                                                   5 3 3 3 1 1 3 5 5 5 5 5 5 3 3 3
195 2840 2855                                                                                5 5 5 3 1 1 1 3 3 3 5 5 5 5 5 3
196 2840 2854                                                                                5 5 3 1 1 1 1 1 3 3 3 5 5 5 5
197 2840 2853                                                                                5 5 1 1 1 1 1 1 3 3 3 5 5 5
198 2839 2853                                                                             5 5 1 1 1 1 1 1 1 3 3 5 5 5 5
199 2839 2853                                                                             5 5 1 1 1 1 1 1 1 1 3 5 5 5 5
200 2839 2853                                                                             5 5 1 1 1 1 1 1 1 1 3 5 5 5 5
201 2838 2854                                                                          5 5 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5
202 2838 2854                                                                          5 5 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5
203 2838 2855                                                                          5 5 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5
204 2837 2855                                                                       5 5 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5
205 2837 2856                                                                       5 5 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5
206 2837 2856                                                                       5 5 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5
207 2836 2857                                                                    5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5
208 2836 2857                                                                    5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5
209 2836 2858                                                                    5 5 1 1 1 1 4 4 4 4 4 1 1 1 1 1 5 5 5 5 5 5 5
210 2835 2858                                                                 5 5 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 5 5 5 5 5 5
211 2835 2859                                                                 5 5 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 5 5 5 5 5 5 5
212 2835 2859                                                                 5 5 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 5 5 5 5 5 5 5
213 2834 2857                                                              5 5 5 1 1 1 1 1 4 4 4 4 4 1 1 2 1 1 1 5 5 5 5 5
214 2834 2855                                                              5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 5 5 5
215 2834 2854                                                              5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 2 1 1 5 5 5
216 2833 2854                                                           5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 5 5 5
217 2833 2853                                                           5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 5 5
218 2832 2853                                                        5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 5 5
219 2832 2852                                                        5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 3 5
220 2831 2853                                                     5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 3 5 5
221 2831 2853                                                     5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 3 3 5 5
222 2830 2854                                                  5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 3 5 5 5 5
223 2830 2854                                                  5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 3 5 5 5 5
224 2829 2854                                               5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 3 3 5 5 5 5
225 2829 2854                                               5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 3 3 3 5 5 5 5
226 2826 2854                                      5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 3 3 3 3 5 5 5
227 2826 2854                                      5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 3 3 3 3 5 5 5
228 2826 2854                                      5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 3 3 3 3 3 5 5 5
229 2826 2850                                      5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 3 3 3 3
230 2827 2845                                         5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1
231 2829 2840                                               5 5 1 1 1 1 1 1 1 1 1 1
232 2831 2835                                                     1 1 1 1 1
233 2832 2832                                                        1
