#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020101 晋阳 太原 山西 州府 9
204 2910 2910                                                                         1
205 2908 2911                                                                   1 1 1 1
206 2906 2912                                                             2 1 1 1 1 1 1
207 2904 2913                                                       2 2 2 1 1 1 1 1 1 1
208 2902 2914                                                 1 1 2 2 2 1 1 1 1 1 1 1 1
209 2900 2915                                           1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1
210 2895 2914                            3 3 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1
211 2894 2920                         3 3 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
212 2893 2920                      3 3 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1
213 2892 2920                   3 3 3 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1
214 2892 2920                   3 3 3 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1
215 2892 2920                   3 3 3 1 1 1 1 1 4 4 4 6 6 6 6 6 6 6 4 4 4 1 1 1 1 1 1 1 1
216 2892 2920                   3 3 3 1 1 1 1 1 4 4 4 6 6 6 6 6 6 6 4 4 4 1 1 1 1 1 1 1 1
217 2892 2919                   3 3 3 1 1 1 1 1 4 4 4 6 6 6 6 6 6 6 4 4 4 1 1 1 1 1 1 1
218 2892 2919                   3 3 3 1 1 1 1 1 4 4 4 6 6 6 7 6 6 6 4 4 4 1 1 1 1 1 1 1
219 2892 2919                   3 3 3 1 1 1 1 1 4 4 4 6 6 6 6 6 6 6 4 4 4 1 1 1 1 1 1 1
220 2892 2918                   3 3 3 1 1 1 1 1 4 4 4 6 6 6 6 6 6 6 4 4 4 1 1 1 1 1 1
221 2893 2918                      3 3 1 1 1 1 1 4 4 4 6 6 6 6 6 6 6 4 4 4 1 1 1 1 1 1
222 2894 2918                         3 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1
223 2893 2917                      1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1
224 2892 2917                   1 1 1 1 1 1 1 2 4 4 4 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1
225 2893 2917                      1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
226 2894 2917                         1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
227 2895 2916                            1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
228 2895 2916                            1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
229 2896 2915                               1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
230 2896 2915                               1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
231 2897 2914                                  2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
232 2897 2914                                  2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
233 2898 2913                                     2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
234 2898 2913                                     2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
235 2899 2912                                        2 1 1 1 1 1 1 1 1 1 1 1 1 1
