#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020601 朔州 朔州 山西 地级市
52 2884 2885                                                                 5 5
53 2884 2886                                                                 5 5 5
54 2884 2887                                                                 5 5 5 5
55 2884 2888                                                                 5 5 5 5 5
56 2884 2889                                                                 5 5 5 5 3 3
57 2884 2890                                                                 5 5 5 5 3 3 3
58 2884 2891                                                                 5 5 5 3 3 3 3 3
59 2883 2897                                                              5 5 5 5 5 5 3 3 3 3 3 3 3 3 3
60 2883 2898                                                              5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3
61 2882 2899                                                           5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3
62 2882 2898                                                           5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3
63 2882 2898                                                           5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3
64 2882 2899                                                           5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3
65 2882 2900                                                           5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3
66 2882 2901                                                           5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3
67 2881 2902                                                        5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3
68 2881 2903                                                        5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3
69 2881 2904                                                        5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
70 2881 2905                                                        5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
71 2880 2906                                                     5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
72 2880 2907                                                     5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
73 2880 2908                                                     5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
74 2880 2909                                                     5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
75 2879 2910                                                  5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
76 2879 2912                                                  5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
77 2879 2912                                                  5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
78 2879 2912                                                  5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
79 2879 2912                                                  5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
80 2879 2912                                                  5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
81 2879 2913                                                  5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
82 2880 2912                                                     5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
83 2880 2912                                                     5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
84 2881 2912                                                        5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
85 2882 2912                                                           5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
86 2882 2912                                                           5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
87 2883 2913                                                              5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
88 2883 2912                                                              5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
89 2884 2912                                                                 5 5 5 5 5 5 5 5 5 3 3 3 3 1 1 1 1 3 1 3 1 3 3 3 3 3 3 3 3
90 2885 2914                                                                    1 1 1 5 5 1 5 5 1 3 3 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3
91 2885 2916                                                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
92 2886 2916                                                                       5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
93 2886 2916                                                                       5 5 5 5 1 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
94 2886 2916                                                                       5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
95 2887 2916                                                                          5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
96 2887 2916                                                                          5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
97 2887 2917                                                                          5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
