#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020902 永和 临汾 山西 中型县城 5
290 2796 2797          2 2
291 2795 2798          2 2 2 2
291 2808 2809                                                    1 1
292 2795 2799          2 2 2 2 2
292 2807 2811                                              1 1 1 1 1
293 2795 2800          2 2 2 2 2 3
293 2806 2813                                           3 3 1 1 1 3 3 3
294 2796 2801             2 2 2 2 2 3
294 2805 2815                                        3 3 3 1 1 3 3 3 3 3 3
295 2795 2818          2 2 2 2 2 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3
296 2796 2818             2 2 2 2 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3
297 2795 2818          2 2 2 2 2 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3
298 2795 2818          2 2 2 2 2 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3
299 2796 2818             2 2 2 2 2 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3
300 2796 2818             2 2 2 2 2 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3
301 2796 2818             2 2 2 2 2 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3
302 2795 2818          2 2 2 2 2 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3
303 2795 2818          2 2 2 2 2 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3
304 2795 2818          2 2 2 2 2 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3
305 2796 2818             2 2 2 2 2 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3
306 2796 2818             2 2 2 2 2 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3
307 2795 2818          2 2 2 2 2 3 3 3 3 3 1 1 1 1 1 1 3 3 3 3 3 3 3 3
308 2795 2818          2 2 2 2 2 3 3 3 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
309 2796 2818             2 2 2 2 2 3 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
310 2796 2818             2 2 2 2 2 3 1 1 1 1 4 4 4 4 4 1 1 1 3 3 3 3 3
311 2796 2818             2 2 2 2 2 3 1 1 1 1 4 6 6 6 4 1 1 1 3 3 3 3 3
312 2795 2818          2 2 2 2 2 3 3 1 1 1 1 4 6 7 6 4 1 1 1 1 3 3 3 3
313 2795 2818          2 2 2 2 2 3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 3 3 3 3
314 2796 2818             2 2 2 2 2 3 1 1 1 1 4 4 4 4 4 1 1 1 3 3 3 3 3
315 2796 2818             2 2 2 2 2 3 3 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
316 2797 2818                2 2 2 2 2 3 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
317 2797 2818                2 2 2 2 2 3 3 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
318 2798 2818                   2 2 2 2 2 3 3 3 1 1 1 1 1 1 1 1 3 3 3 3 3
319 2798 2818                   2 2 2 2 2 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 
320 2799 2818                      2 2 2 2 2 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3
321 2799 2818                      2 2 2 2 2 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
322 2800 2815                         2 2 2 2 2 1 3 3 3 3 3 3 3 3 3 3
323 2800 2812                         2 2 2 2 2 3 3 3 3 3 3 3 3
324 2800 2810                         2 2 2 2 2 3 3 3 3 3 3
325 2800 2808                         2 2 2 2 2 3 3 3 3 
326 2800 2806                         2 2 2 2 2 3 3
327 2800 2803                         2 2 2 2
