#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1021001 河东 运城 山西 郡治 8
419 2825 2825                                         3
420 2825 2826                                         3 3
421 2824 2827                                      3 3 3 3
422 2824 2828                                      3 3 3 3 3
423 2823 2829                                   1 1 1 1 1 1 1
424 2823 2830                                   1 1 1 1 1 1 1 1
425 2822 2831                                1 1 1 1 1 1 1 1 1 1
426 2822 2832                                1 1 1 1 1 1 1 1 1 1 1
427 2821 2832                             1 1 1 1 1 1 1 1 1 1 1 1
428 2821 2832                             1 1 1 1 1 1 1 1 1 1 1 1
429 2820 2831                          1 1 1 1 1 1 1 1 1 1 1 1
430 2819 2831                       1 1 1 1 1 1 1 1 1 1 1 1 1
431 2818 2831                    1 1 1 1 1 1 1 1 1 1 1 1 1 1
432 2819 2831                       1 1 1 1 1 1 1 1 1 1 1 1 1
433 2819 2831                       1 1 1 1 1 1 1 1 1 1 1 1 1
434 2819 2832                       1 1 1 1 1 1 1 1 1 1 1 1 1 1
435 2820 2832                          1 1 1 1 1 1 1 1 1 1 1 1 1
436 2820 2832                          1 1 1 1 1 1 1 1 1 1 1 1 1
437 2820 2832                          1 1 1 1 1 1 1 1 1 1 1 1 1
438 2821 2832                             1 1 1 1 1 1 1 1 1 1 1 1
439 2821 2832                             1 1 1 1 1 1 1 1 1 1 1 1
440 2821 2833                             1 1 1 1 1 1 1 1 1 1 1 1 1
441 2822 2833                                1 1 1 1 1 1 1 1 1 1 1 1
442 2822 2833                                1 1 1 1 1 1 1 1 1 1 1 1
443 2822 2833                                1 1 1 1 1 1 1 1 1 1 1 1
444 2823 2833                                   1 1 1 1 1 1 1 1 1 1 1
445 2823 2834                                   1 1 1 1 1 1 1 1 1 1 1 1
446 2823 2834                                   1 1 1 1 1 1 1 1 1 1 1 1
447 2824 2834                                      1 1 1 1 1 1 1 1 1 1 1
448 2824 2834                                      1 1 1 1 1 1 1 1 1 1 1
449 2824 2834                                      1 1 1 1 1 1 1 1 1 1 1
450 2825 2835                                         1 1 1 1 1 1 1 1 1 1 1
451 2822 2835                                1 1 1 1 1 1 1 1 1 1 1 1 1 1
452 2820 2835                          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
453 2818 2836                    1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 1 1 1 1
454 2818 2836                    1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 1 1 1 1
455 2818 2836                    1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1
456 2818 2836                    1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1
457 2818 2836                    1 1 1 1 1 1 4 4 6 6 7 6 6 4 4 1 1 1 1
458 2818 2836                    1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1
459 2818 2836                    1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1
460 2818 2836                    1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 1 1 1 1
461 2818 2836                    1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 1 1 1 1
462 2818 2835                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
463 2818 2833                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
464 2818 2831                    1 1 1 1 1 1 1 1 1 1 1 1 1 1
465 2818 2829                    1 1 1 1 1 1 1 1 1 1 1 1
466 2817 2827                 1 1 1 1 1 1 1 1 1 1 1
467 2817 2825                 1 1 1 1 1 1 1 1 1
468 2816 2823              1 1 1 1 1 1 1 1
469 2816 2822              1 1 1 1 1 1 1
470 2816 2821              1 1 1 1 1 1
471 2817 2820                 1 1 1 1
472 2817 2819                 1 1 1
