#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020910 浮山 临汾 山西 中型县城 5
356 2871 2872                                  1 1
357 2870 2874                               1 1 1 1 1
358 2870 2876                               1 1 1 1 1 1 1
359 2870 2878                               1 1 1 1 1 1 1 1 1
360 2869 2879                            1 1 1 1 1 1 1 1 1 1 1
361 2869 2881                            1 1 1 1 1 1 1 1 1 1 1 1 1
362 2869 2883                            1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
363 2868 2885                         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
364 2868 2887                         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
365 2868 2890                         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
366 2867 2890                      1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 3
367 2867 2891                      1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 3 3
368 2867 2891                      1 1 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 3 3 3
369 2866 2891                   1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 3 3 3
370 2866 2892                   1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 3 3 3 3
371 2866 2893                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
372 2866 2884                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
372 2886 2894                                                                               1 1 1 3 3 3 3 3 3
373 2866 2882                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
373 2887 2893                                                                                  3 3 3 3 3 3 3
374 2866 2880                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
374 2888 2892                                                                                     3 3 3 3 3
375 2868 2878                         1 1 1 1 1 1 1 1 3 3 3
375 2889 2891                                                                                        3 3 3
376 2870 2876                               1 1 1 1 3 3 3
376 2890 2890                                                                                           3
377 2872 2874                                     3 3 3                                                          
378 2873 2873                                        3
