#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020104 清徐 太原 山西 大型县城 6
220 2891 2891                                           3
221 2890 2892                                       3 3 3
222 2889 2893                                    3 3 3 3 3
223 2888 2892                                 3 3 3 3 3
224 2887 2891                              5 3 3 3 3 
225 2878 2892    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
226 2879 2893       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
227 2880 2894          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
228 2881 2894             1 1 1 1 1 1 1 1 1 1 1 1 1 1 
229 2881 2895             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
230 2882 2895                1 1 1 1 1 1 1 1 1 1 1 1 1 1
231 2882 2896                1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
232 2883 2896                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
233 2884 2897                      1 1 1 1 1 1 1 1 1 1 1 1 1 2
234 2885 2897                         1 1 1 1 1 1 1 1 1 1 1 1 2
235 2886 2898                            1 1 1 2 2 2 2 2 2 2 2 2 2
236 2886 2912                            1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
237 2887 2912                               2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
238 2887 2911                               2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
239 2888 2910                                 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1
240 2888 2909                                 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1  1 1 1 1 1 1 1
241 2888 2908                                 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1
242 2889 2907                                    1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1
243 2889 2906                                    1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1
244 2890 2905                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
245 2890 2904                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
246 2890 2903                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1
