#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1021003 稷山 运城 山西 小型县城 4
381 2819 2819                                            3
382 2818 2820                                         3 3 3
383 2817 2821                                      3 3 3 3 3
384 2816 2822                                   3 1 1 1 1 1 3
385 2815 2823                                1 1 1 1 1 1 1 1 1
386 2814 2824                             1 1 1 1 1 1 1 1 1 1 1
387 2813 2825                          1 1 1 1 1 1 1 1 1 1 1 1 1
388 2814 2826                             1 1 1 1 1 1 1 1 1 1 1 1 1
389 2816 2828                       1 1 1 1 1 1 1 1 1 1 1 1 1
390 2816 2829                       1 1 1 1 1 1 1 1 1 1 1 1 1 1
391 2816 2830                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
392 2816 2830                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
393 2816 2830                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
394 2816 2830                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
395 2816 2830                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
396 2816 2830                       1 1 1 1 1 1 4 4 4 4 4 1 1 1 1
397 2816 2830                       1 1 1 1 1 1 4 6 6 6 4 1 1 1 1
398 2816 2830                       1 1 1 1 1 1 4 6 7 6 4 1 1 1 1
399 2816 2830                       1 1 1 1 1 1 4 6 6 6 4 1 1 1 1
400 2816 2829                       1 1 1 1 1 1 4 4 4 4 4 1 1 1
401 2816 2829                       1 1 1 1 1 1 1 1 1 1 1 1 1 1
402 2816 2829                       1 1 1 1 1 1 1 1 1 1 1 1 1 1
403 2816 2829                       1 1 1 1 1 1 1 1 1 1 1 1 1 1
404 2816 2828                       1 1 1 1 1 1 1 1 1 1 2 2 2
405 2816 2828                       2 2 2 2 2 2 2 2 2 2 2 2 2
406 2816 2828                       2 2 2 2 2 2 2 2 2 2 2 2 2
407 2816 2828                       2 2 2 2 2 2 2 2 2 2 1 1 1
408 2816 2827                       1 1 1 1 1 1 1 1 1 1 1 1
409 2816 2827                       1 1 1 1 1 1 1 1 1 1 1 1
410 2817 2827                          1 1 1 1 1 1 1 1 1 1 1
411 2817 2827                          1 1 1 1 1 1 1 1 1 1 1
412 2818 2827                             1 1 1 1 1 1 1 1 1 1
413 2819 2827                                1 1 1 1 1 1 1 1 1
414 2820 2826                                   1 1 1 1 1 1 1
415 2821 2826                                      1 1 1 1 1 1
416 2822 2826                                         1 1 1 1 1
417 2823 2826                                            1 1 1 1
418 2824 2826                                               1 1 1
