#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1021012 芮城 运城 山西 小型县城 4
467 2826 2827                                                                                                                 3 3
468 2824 2827                                                                                                           3 3 3 3
469 2823 2827                                                                                                        3 3 3 3 3
470 2822 2828                                                                                                     3 3 3 3 3 3 3
471 2821 2828                                                                                                  3 3 3 3 3 3 3 3
472 2820 2828                                                                                               3 3 3 3 3 3 3 3 3
473 2800 2829                                   1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
474 2798 2829                             1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
475 2796 2829                       2 2 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
476 2793 2830              2 2 2 2 2 1 1 1 3 1 1 3 1 1 1 3 3 1 1 1 3 3 1 1 3 1 1 1 1 3 1 1 1 3 1 1 3 1
477 2793 2830              2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
478 2793 2830              2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
479 2793 2831              2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
480 2793 2831              2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 
481 2793 2831              2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2
482 2792 2832           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
483 2792 2832           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2
484 2792 2829           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2
485 2792 2826           2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2
486 2792 2823           2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
487 2792 2820           2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
488 2792 2817           2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
489 2792 2815           2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
490 2807 2813                                                        2 2 2 2 2 2 2

