#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020410 长子 长治 山西 大型县城 7
344 2924 2924                                                        1
345 2923 2925                                                     1 1 1
346 2922 2926                                                  1 1 1 1 1
347 2921 2927                                               1 1 1 1 1 1 2
348 2920 2928                                            1 1 1 1 1 1 1 2 2
349 2919 2929                                         1 1 1 1 1 1 1 1 2 2 1
350 2918 2929                                      1 1 1 1 1 1 1 1 1 2 2 1
351 2917 2929                                   1 1 1 1 1 1 1 1 1 1 2 2 1
352 2916 2929                                3 1 1 1 1 1 1 1 1 1 1 2 2 1
353 2915 2929                             3 3 3 1 1 1 1 1 1 1 1 1 2 2 1
354 2914 2929                          3 3 3 3 1 1 1 1 1 1 1 1 1 2 2 1
355 2913 2929                       3 3 3 3 3 1 1 1 4 4 4 4 4 1 2 2 1
356 2912 2929                    3 3 3 3 3 1 1 1 1 4 6 6 6 4 1 2 2 1
357 2911 2929                 3 3 3 3 3 3 1 1 1 1 4 6 7 6 4 2 2 1 1
358 2910 2930              3 3 3 3 3 3 3 3 1 1 1 4 6 6 6 4 2 2 1 1 1
359 2909 2930           3 3 3 3 3 3 3 3 3 1 1 1 4 4 4 4 4 2 2 1 1 1
360 2908 2930        2 2 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 2 2 1 1 1 1
361 2907 2930     1 2 2 3 3 3 3 3 3 3 1 1 1 1 1 1 2 2 2 2 1 1 1 1
362 2907 2930     1 2 2 3 3 3 3 3 3 3 1 1 1 2 2 2 2 2 2 1 1 1 1 1
363 2908 2930        2 2 3 3 3 3 3 3 3 1 2 2 2 2 2 1 1 1 1 1 1 1 1
364 2908 2930        2 2 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1
365 2908 2930        2 2 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1
366 2908 2930        2 2 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1                                    
367 2916 2930                                3 3 1 1 1 1 1 1 1 1 1 1 1 
368 2919 2930                                         1 1 1 1 1 1 1 1 1 1 1 
369 2922 2930                                                  1 1 1 1 1 1 1 1 1 
370 2925 2930                                                           1 1 1 1 1 1
371 2928 2930                                                                    1 1 1
