#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020402 长治 长治 山西 小型县城 4
350 2930 2932          1 1 1
351 2930 2935          1 1 1 1 1
352 2930 2938          1 1 1 1 1 1 1 1
353 2930 2941          1 1 1 1 1 1 1 1 1 1 1
354 2930 2944          1 1 1 1 1 1 1 1 1 1 1 1 1 1 
355 2930 2947          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
356 2930 2951          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
357 2930 2951          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
358 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
359 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
360 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
361 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
362 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
363 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
364 2931 2951             1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1
365 2931 2951             1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1
366 2931 2951             1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1
367 2931 2951             1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1
368 2931 2951             1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1
369 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
370 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
371 2931 2951             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
372 2933 2951                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
373 2936 2951                            3 3 3 1 3 3 1 1 3 3 3 1 1 1 1
374 2939 2951                                     3 3 3 3 3 3 3 3 3 3 3 3
375 2942 2951                                              3 3 3 3 3 3 3 3 3
376 2945 2951                                                       3 3 3 3 3 3
377 2948 2951                                                                3 3 3
