#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1021006 闻喜 运城 山西 中型县城 5
401 2840 2842                                                                                             2 2 2
401 2851 2854                                                                                                                              1 1 1 1
402 2839 2843                                                                                          2 2 2 1 1
402 2847 2854                                                                                                                  1 1 1 1 1 1 1 1 
403 2838 2854                                                                                       2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
404 2837 2853                                                                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
405 2836 2853                                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
406 2836 2852                                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
407 2836 2852                                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
408 2836 2851                                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
409 2836 2851                                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
410 2835 2852                                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
411 2834 2852                                                                           1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
412 2833 2853                                                                        1 1 1 1 1 3 3 3 3 1 1 1 1 3 3 1 3 3 1 1 1
413 2832 2853                                                                     1 1 1 3 3 3 3 3 3 3 1 1 1 1 3 3 3 3 3 3 3 3
414 2831 2854                                                                  1 1 1 3 3 3 3 3 3 3 3 3 1 1 1 3 3 3 3 3 3 3 3 3
415 2828 2856                                                         1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1
416 2827 2857                                                      1 1 1 1 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
417 2826 2858                                                   1 1 1 1 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
418 2826 2859                                                   1 1 1 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
419 2826 2867                                                   1 1 3 3 3 3 3 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
420 2827 2866                                                      3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
421 2828 2865                                                         3 3 3 1 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
422 2829 2864                                                            1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
423 2830 2863                                                               1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
424 2831 2864                                                                  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
425 2832 2863                                                                     1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
426 2833 2862                                                                        1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
427 2843 2860                                                                                                      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
428 2845 2858                                                                                                            1 1 1 1 1 1 1 1 1 1 1 1 1 1
429 2847 2857                                                                                                                  1 1 1 1 1 1 1 1 1 1 1
430 2849 2856                                                                                                                        1 1 1 1 1 1 1 1
431 2851 2855                                                                                                                              1 1 1 1 1
432 2853 2854                                                                                                                                    1 1
