#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020903 隰县 临汾 山西 小型县城 3
287 2831 2831                                              5
288 2830 2832                                           5 5 5
289 2830 2833                                           5 5 5 5
290 2829 2834                                        5 5 5 5 5 5
291 2828 2835                                     5 5 5 5 5 5 5 1
292 2825 2836                            5 5 5 5 5 5 5 5 5 5 1 1
293 2822 2837                   3 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1
294 2819 2838          3 3 3 3 5 5 5 5 5 5 5 5 5 5 1 1 1 1 3 3
295 2819 2839          3 3 3 3 5 5 5 5 5 5 5 5 5 5 1 1 3 3 3 3 3
296 2819 2841          3 3 3 3 5 5 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3
297 2819 2843          3 3 3 3 5 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3
298 2819 2845          3 3 3 3 5 5 5 5 5 5 5 5 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3
299 2819 2846          3 3 3 5 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
300 2819 2847          3 3 5 5 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
301 2819 2848          3 3 5 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
302 2819 2849          3 3 5 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
303 2819 2849          3 3 5 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
304 2819 2849          3 3 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
305 2819 2849          3 3 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
306 2819 2849          3 3 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
307 2819 2849          3 3 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
308 2819 2849          3 5 5 5 5 5 5 5 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
309 2819 2849          3 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3
310 2819 2849          3 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
311 2819 2848          3 3 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3
312 2819 2848          3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3
313 2819 2848          3 3 3 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3
314 2819 2848          3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3
315 2819 2847          3 3 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3
316 2819 2847          3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3
317 2819 2847          3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3
318 2819 2846          3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
319 2819 2846          3 3 3 3 3 3 3 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3
320 2819 2844          3 3 3 3 3 3 3 3 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3
321 2819 2842          3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
322 2821 2839                3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3
323 2821 2836                3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3
324 2821 2833                3 3 3 3 3 3 1 1 3 3 3 3 3
325 2821 2830                3 3 3 3 3 3 1 1 3 3
326 2821 2827                3 3 3 3 3 3 1
327 2821 2824                3 3 3 3
328 2821 2821                3
