#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020301 上艾 乐平 并州 郡治 8
211 2994 2996                                                                                                          5 5 5
212 2988 2996                                                                                        5 5 5 5 5 5 5 5 5
213 2985 2996                                                                               5 5 5 5 5 5 5 5 5 5 5 5
214 2982 2996                                                                      5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
215 2979 2996                                                             5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2
216 2976 2996                                                    5 5 5 1 1 1 5 1 5 5 1 1 5 5 5 5 5 2 2 2 2
217 2971 2996                                     5 5 5 5 5 5 5 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 5 5
218 2968 2996                            5 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 2 2 2 2 2 2 2 5 5 5 5
219 2962 2996          3 3 3 3 1 1 1 1 1 1 1 1 1 2 2 4 4 4 4 4 4 4 4 4 1 1 1 1 1 5 5 5 5 5 5
220 2962 2996          1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 4 4 6 6 6 6 6 4 4 1 1 1 1 1 5 5 5 5 5 5
221 2962 2996          2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1 1 5 1 1 1 1 5 
222 2962 2996          2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 4 4 6 6 7 6 6 4 4 1 1 1 1 1 1 1 5 5 1 1
223 2962 2996          1 1 1 1 1 3 3 3 3 3 3 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1 1 5 5 5 5 5 5
224 2962 2999          3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1 1 5 5 5 5 5 5 5 5 5
225 2962 2999          3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 4 4 4 4 4 4 4 4 4 1 1 1 1 1 5 5 5 5 5 5 5 5 5
226 2962 2996          3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 4 4 4 4 4 4 4 4 4 1 1 1 1 1 5 5 5 5 5 5
227 2962 2991          3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5
228 2962 2985          3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1
229 2962 2980          3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 
230 2961 2975       3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
231 2961 2970       3 3 3 3 3 3 3 3 3 3
232 2960 2965    3 3 3 3 3 3
