#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020602 中陵 朔方 并州 中型县城 5
28 2910 2911                                                                                3 3
29 2909 2913                                                                             3 3 3 3
30 2908 2915                                                                          3 3 3 3 5 5 5
31 2907 2917                                                                       3 3 3 3 5 5 5 5 5 5
32 2906 2918                                                                    3 3 3 3 5 5 5 5 5 5 5 5
33 2905 2919                                                                 5 3 3 3 3 3 5 5 5 5 5 5 5 5
34 2904 2920                                                              5 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5
35 2903 2921                                                           5 5 5 5 3 3 3 3 5 5 5 5 5 5 5 5 5 5
36 2901 2922                                                     5 5 5 5 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5
37 2899 2923                                               5 2 2 5 3 3 3 3 5 1 5 5 1 5 5 5 5 5 5 5 5 5 5 5
38 2897 2923                                         5 5 5 3 2 2 3 3 3 3 1 1 1 1 1 5 1 1 1 5 5 5 5 5 5 5
39 2896 2923                                      5 5 5 5 3 3 2 2 3 3 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5
40 2895 2923                                   5 5 5 5 5 3 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5
41 2894 2922                                5 5 5 5 5 3 3 3 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5
42 2893 2922                             5 5 5 5 5 5 3 3 3 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5
43 2892 2922                          5 5 5 5 5 5 5 3 3 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5
44 2891 2922                       5 5 5 5 5 5 5 3 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
45 2890 2922                    5 5 5 5 5 5 3 1 1 1 1 1 1 1 1 2 2 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1
46 2889 2923                 5 5 5 5 5 3 3 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1
47 2888 2922              5 5 5 5 5 3 3 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1
48 2887 2922           5 5 5 5 5 5 3 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1
49 2886 2922        5 5 5 5 5 3 3 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1
50 2885 2923     5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
51 2885 2923     5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
52 2886 2922        5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
53 2887 2922           5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
54 2888 2922              5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
55 2889 2922                 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
56 2890 2923                    3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
57 2891 2923                       3 3 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
58 2892 2922                          3 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
59 2898 2922                                            1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
60 2899 2922                                               1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
61 2900 2922                                                  1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
62 2899 2922                                               1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
63 2899 2922                                               1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1
64 2900 2921                                                  1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1
65 2901 2921                                                     1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
66 2902 2921                                                        1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
67 2903 2921                                                           1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
68 2904 2922                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
69 2905 2923                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
70 2906 2925                                                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
71 2907 2926                                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
72 2908 2927                                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
73 2909 2929                                                                             1 1 3 1 3 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
74 2910 2913                                                                                3 3 3 3
75 2911 2912                                                                                   3 3

