#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020701 九原 新兴 并州 郡治 8
161 2911 2912                                                                                       1 1
162 2909 2913                                                                                 1 1 1 1 1
163 2907 2914                                                                           1 1 1 1 1 1 1 1
164 2906 2915                                                                        1 1 1 1 1 1 1 1 1 1
165 2905 2916                                                                     1 1 1 1 1 1 1 1 1 1 1 1
166 2903 2919                                                               1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
167 2901 2920                                                         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
168 2899 2920                                                   5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
169 2897 2921                                             5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
170 2896 2921                                          5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
171 2896 2922                                          3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2
172 2896 2922                                          3 3 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
173 2895 2923                                       3 3 3 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1
174 2895 2923                                       2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
175 2894 2925                                    2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
176 2894 2926                                    3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1
177 2894 2927                                    3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1
178 2893 2928                                 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1 1 1 1 1 1 1
179 2893 2928                                 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1 1 1 1 1 1 1
180 2892 2929                              3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 6 6 7 6 6 4 4 1 1 1 1 1 1 1 1 1 1 5
181 2892 2928                              3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1 1 1 1 5 5 5
182 2892 2928                              3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1 1 1 1 5 5 5 5 5 5
183 2893 2927                                 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5
184 2895 2925                                       3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5
185 2897 2923                                             3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5
186 2897 2922                                             3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5
187 2899 2921                                                   3 3 3 3 3 3 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5
188 2901 2919                                                         3 3 3 3 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5
189 2903 2917                                                               3 3 1 1 1 1 1 1 1 5 5 5 5 5 5
190 2905 2915                                                                     1 1 1 1 1 1 1 5 5 5 5
191 2907 2913                                                                           1 1 1 1 1 5 5
192 2909 2911                                                                                  1 1 5
