#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020707 五台 雁门 并州 中型县城 5
135 2979 2979                                                                                                                                5
136 2976 2981                                                                                                                       5 5 5 5 5 5
137 2972 2983                                                                                                           5 5 5 5 5 5 5 5 5 5 5 5
138 2969 2985                                                                                                  5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
139 2967 2987                                                                                            5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
140 2965 2989                                                                                      5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
141 2964 2991                                                                                   5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
142 2962 2997                                                                             5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
143 2961 2997                                                                          5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
144 2961 2997                                                                          5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
145 2960 2999                                                                       5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
146 2960 2999                                                                       5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
147 2960 3001                                                                       3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
148 2959 3001                                                                    3 3 3 3 5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
149 2959 3002                                                                    3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5
150 2959 3003                                                                    3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
151 2958 3004                                                                 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
152 2953 3004                                                  3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
153 2952 3003                                               3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
154 2951 3002                                            3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5
155 2950 3001                                         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5
156 2949 3000                                      2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5
157 2950 2999                                         2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5
158 2951 2998                                            2 2 2 2 1 1 1 1 1 1 1 1 1 2 2 3 3 3 3 3 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5
159 2952 2998                                               2 2 2 2 2 1 1 1 1 1 1 1 2 2 3 3 3 3 3 3 3 2 2 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
160 2954 2998                                                     1 2 2 1 1 1 1 1 1 1 2 2 3 3 3 3 3 3 3 2 2 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
161 2955 2998                                                        2 2 1 1 1 1 1 1 1 2 2 3 3 3 3 3 3 3 2 2 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
162 2955 2997                                                        2 2 1 1 1 1 1 1 2 2 1 3 3 3 3 3 3 3 2 2 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
163 2956 2997                                                           2 1 1 1 1 1 1 2 2 1 3 3 3 3 3 3 3 3 2 2 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
164 2957 2997                                                              1 1 1 1 1 1 2 2 1 3 3 3 3 3 3 3 3 2 2 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
165 2958 2997                                                                 1 1 1 1 1 2 2 1 3 3 3 3 3 3 3 3 2 2 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
