#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020106 卢川 太原 并州 小型县城 4
191 2882 2883                                                       3 3   
192 2882 2885                                                       3 3 3 3
193 2882 2890                                                       3 3 3 3 3 3 3 3 3
194 2882 2890                                                       3 3 3 3 3 3 3 3 3
195 2882 2891                                                       3 3 3 3 3 3 3 3 3 3
196 2882 2891                                                       3 3 3 3 3 3 3 3 3 3
197 2882 2891                                                       3 3 3 3 3 3 3 3 3 3
198 2882 2891                                                       3 3 3 3 3 3 3 3 3 3
199 2882 2891                                                       3 3 3 3 3 3 3 3 3 3
200 2882 2891                                                       1 1 1 1 1 1 1 3 3 1
201 2882 2891                                                       2 2 2 2 1 1 1 1 1 1
202 2882 2891                                                       2 2 2 2 2 2 2 2 2 2
203 2882 2891                                                       2 2 2 2 2 2 2 2 2 2
204 2882 2893                                                       1 1 1 1 2 2 2 2 2 2 2 2
205 2882 2894                                                       1 1 1 1 1 1 1 1 1 1 1 1 1
206 2882 2894                                                       1 4 4 4 4 4 1 1 1 1 1 1 1
207 2882 2895                                                       1 4 6 6 6 4 1 1 1 1 1 1 1 1
208 2882 2895                                                       1 4 6 7 6 4 1 1 1 1 1 1 1 1
209 2876 2894                                     1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1
210 2871 2894                      1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1
211 2870 2893                   3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
212 2869 2892                3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
213 2870 2891                   3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
214 2871 2891                      5 5 5 5 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1
215 2872 2891                         5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 1 1 1 1 1
216 2873 2891                            5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3
217 2874 2891                               5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3
218 2874 2891                               5 5 5 5 5 5 5 3 5 3 3 3 3 3 3 3 3 3
219 2875 2891                                  5 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3
220 2875 2890                                  5 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3
221 2876 2889                                     5 5 5 5 5 5 5 5 5 5 3 3 3 3
222 2876 2888                                     5 5 5 5 5 5 5 5 5 5 3 3 3
223 2877 2887                                        5 5 5 5 5 5 5 5 5 5 3
224 2877 2886                                        5 5 5 5 5 5 5 5 5 5                                                
