#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020810 土军 西河 并州 小型县城 3
265 2807 2807                                                   2
266 2807 2807                                                   2
267 2806 2808                                                2 2 2
268 2806 2808                                                2 2 2
269 2806 2809                                                2 2 2 2
270 2805 2810                                                2 2 2 2 2 1
271 2805 2814                                                2 2 2 2 2 1 3 3 3 3
272 2805 2815                                                2 2 2 2 2 1 3 3 3 3 3
273 2804 2817                                             2 2 2 2 2 1 1 3 5 5 5 5 5 5
274 2804 2817                                             2 2 2 2 2 1 3 3 5 5 5 5 5 5
275 2804 2825                                             2 2 2 2 2 1 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5
276 2803 2826                                          2 2 2 2 2 1 1 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5
277 2803 2827                                          2 2 2 2 2 1 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5
278 2802 2829                                       2 2 2 2 2 1 1 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5
279 2802 2830                                       2 2 2 2 2 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5
280 2801 2830                                    2 2 2 2 2 3 3 1 1 1 3 1 1 3 1 1 3 1 3 3 3 3 5 5 5 5 5 5 5 5
281 2801 2830                                    2 2 2 2 2 3 3 1 1 1 1 1 1 1 1 1 1 1 3 1 1 3 3 5 5 5 5 5 5 5
282 2800 2830                                 2 2 2 2 2 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5 5 5 5 5
283 2800 2830                                 2 2 2 2 2 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5 5 5 5 5
284 2799 2830                              2 2 2 2 2 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5 5 5 5 5
285 2799 2830                              2 2 2 2 2 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5 5 5 5 5
286 2798 2830                           2 2 2 2 2 3 3 3 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 3 3 3 5 5 5 5 5 5 5
287 2798 2830                           2 2 2 2 2 3 3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 1 3 3 3 3 5 5 5 5 5 5 5
288 2797 2829                        2 2 2 2 2 3 3 3 1 1 1 1 1 4 6 7 6 4 1 1 1 1 3 3 3 3 3 5 5 5 5 5 5
289 2797 2829                        2 2 2 2 2 3 3 3 1 1 1 1 1 4 6 6 6 4 1 1 1 1 3 3 3 3 3 5 5 5 5 5 5
290 2798 2828                           2 2 2 3 3 3 3 1 1 1 1 1 4 4 4 4 4 1 1 1 1 3 3 3 3 3 5 5 5 5 5
291 2799 2807                              2 3 3 3 3 1 1 1 1
291 2810 2827                                                               1 1 1 1 1 1 1 1 3 3 3 3 3 5 5 5 5 5
292 2800 2806                                 3 3 3 3 3 3 1
292 2812 2824                                                                     1 1 1 3 3 3 3 3 3 3 3 5 5
293 2801 2805                                    3 3 3 3 3
293 2814 2821                                                                           3 3 3 3 3 3 3 3
294 2802 2804                                       3 3 3
294 2816 2818                                                                                 3 3 3 3
