#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1021013 大阳 河东 并州 小型县城 3
462 2836 2836                                                                                3
463 2834 2841                                                                          3 3 3 3 3 3 3 3
464 2832 2843                                                                    3 3 3 3 3 3 3 3 3 3 3 3
465 2830 2845                                                              3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
466 2828 2847                                                        3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
467 2828 2849                                                        3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
468 2828 2859                                                        3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
469 2828 2859                                                        3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3                         
470 2829 2859                                                           3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3
471 2829 2859                                                           3 3 3 3 3 3 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3
472 2829 2859                                                           3 3 3 3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1
473 2830 2859                                                              3 3 3 3 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
474 2830 2859                                                              3 3 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
475 2830 2859                                                              1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
476 2831 2859                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2
477 2831 2859                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2
478 2831 2850                                                                 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
479 2832 2844                                                                    1 1 1 1 1 1 1 1 1 1 2 2 2
479 2846 2849                                                                                                              2 2 2 2
480 2832 2842                                                                    2 2 2 2 2 2 2 2 2 2 2
480 2847 2848                                                                                                                 2 2
481 2832 2840                                                                    2 2 2 2 2 2 2 2 2
482 2833 2838                                                                       2 2 2 2 2 2
483 2833 2836                                                                       2 2 2 2
484 2835 2835                                                                             2
