#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020409 屯留 上党 并州 中型县城 5
322 2918 2920                                                      1 1 1
323 2918 2921                                                      1 1 1 1
324 2918 2922                                                      1 1 1 1 1
325 2917 2923                                                   1 1 1 1 1 1 1
326 2917 2924                                                   1 1 1 1 1 1 1 1
327 2917 2925                                                   1 1 1 1 1 1 1 1 2
328 2916 2926                                                1 1 1 1 1 1 1 1 1 2 2
329 2916 2930                                                1 1 1 1 1 1 1 1 1 2 2 1 1 1 1
330 2916 2930                                                1 1 1 1 1 1 1 1 1 2 2 1 1 1 1
331 2916 2930                                                1 1 1 1 1 1 1 1 1 1 2 2 1 1 1
331 2908 2911                        3 3 3 3
332 2916 2930                                                1 1 1 1 1 1 1 1 1 1 2 2 1 1 1
332 2909 2912                           3 3 3 3
333 2907 2930                     3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 
334 2908 2930                        3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 
335 2909 2930                           3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 
336 2908 2930                        3 3 3 3 3 1 1 1 1 4 4 4 4 4 1 1 1 1 1 2 2 1 1 
337 2908 2930                        3 3 3 3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 1 2 2 1 1
338 2907 2930                     2 3 3 3 3 3 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 2 2 1
339 2908 2930                        3 3 3 3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 2 2 1
340 2908 2930                        3 3 3 3 3 3 1 1 1 4 4 4 4 4 1 1 1 1 1 1 2 2 1
341 2909 2930                           3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
342 2910 2930                              3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
343 2911 2930                                 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
344 2912 2923                                    3 3 3 3 1 1 1 1 1 1 1 1
344 2925 2930                                                                           1 1 1 2 2 1
345 2913 2922                                       3 3 3 1 1 1 1 1 1 1
345 2926 2929                                                                              1 2 2 1
346 2914 2921                                          3 3 1 1 1 1 1 1
346 2927 2929                                                                                 2 2 1
347 2915 2920                                             3 3 1 1 1 1 
347 2928 2929                                                                                    2 1
348 2916 2919                                                3 1 1 1
348 2929 2929                                                                                       1
349 2917 2918                                                   1 1
