#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020809 平周 西河 并州 中型县城 5
273 2837 2839                                                 5 5 5
274 2836 2841                                              2 2 5 5 5 5
275 2835 2843                                           5 2 2 5 5 5 5 5 5
276 2834 2844                                        5 5 5 2 2 5 5 5 5 5 5
277 2833 2845                                     5 5 5 5 2 2 5 5 5 5 5 5 5
278 2832 2846                                  5 5 5 5 5 5 2 2 5 5 5 5 5 5 5
279 2831 2847                               5 5 5 5 5 5 5 5 2 2 5 5 5 5 5 5 5
280 2831 2848                               5 5 5 5 5 5 5 5 2 2 5 5 5 5 5 5 5 5
281 2831 2849                               5 5 5 5 5 5 5 5 2 2 5 5 5 5 5 5 5 5 5
282 2831 2850                               5 5 5 5 5 5 5 5 5 2 2 5 5 5 5 5 5 5 5 5
283 2831 2850                               5 5 5 5 5 5 5 5 5 2 2 5 5 5 5 5 5 5 5 5
284 2831 2851                               5 5 5 5 5 1 1 1 1 2 2 1 1 1 5 5 5 5 5 5 5
285 2831 2851                               5 5 5 5 1 1 1 1 1 2 2 1 1 1 1 5 5 5 5 5 5
286 2831 2852                               5 5 5 1 1 1 1 1 1 2 2 1 1 1 1 1 1 5 5 5 3 3
287 2832 2852                                  5 5 1 1 1 1 1 1 4 4 4 4 4 1 1 1 5 5 3 3 3
288 2833 2853                                     5 5 1 1 1 1 1 4 6 6 6 4 1 1 1 1 5 3 3 3 3
289 2834 2853                                        5 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 3 3 3 3
290 2835 2854                                           5 1 1 1 1 4 6 6 6 4 1 1 1 1 1 3 3 3 3 3
291 2836 2854                                              1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 3 3
292 2837 2855                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1
293 2838 2856                                                    1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 1 1 1 1
294 2839 2857                                                       1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3
295 2840 2858                                                          3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
296 2842 2856                                                                1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
297 2844 2854                                                                      3 3 3 3 3 3 3 3 3 3 3
298 2846 2852                                                                            3 3 3 3 3 3 3
299 2847 2851                                                                               3 3 3 3 3
300 2848 2850                                                                                  3 3 3
301 2849 2849                                                                                     3
