#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020201 平城 云中 并州 郡治 8
20 2961 2961                                                                                              3
21 2960 2962                                                                                          3 3 3
22 2958 2963                                                                                    3 3 3 3 3 3
23 2955 2964                                                                           3 3 3 3 3 3 3 3 3 3
24 2952 2966                                                                  3 3 3 3 3 3 3 3 3 3 3 3 5 1 2
25 2949 2968                                                         3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 1 2 2
26 2947 2970                                                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 1 2 2 5
27 2945 2972                                             3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 1 2 2 2 2 1 5 
28 2943 2974                                       3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 1 2 2 2 2 2 1 5 5 5   
29 2944 2974                                          1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 1 1 2 2 2 2 1 1 5 5 5
30 2945 2975                                             1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 1 1 1 2 2 2 2 2 1 5 5 5 5  
31 2946 2975                                                1 3 3 3 3 3 3 3 3 3 3 3 3 5 5 1 1 1 1 1 2 2 2 2 2 2 1 5 5 5
32 2948 2975                                                      3 3 3 3 3 3 3 3 3 3 5 5 1 1 1 1 1 1 1 2 2 2 2 2 1 5 5 5
33 2950 2974                                                            3 3 3 3 3 3 3 3 5 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 3
34 2952 2974                                                                  3 3 3 3 5 5 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 3
35 2954 2972                                                                        3 5 5 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2
36 2955 2970                                                                           5 4 4 4 4 4 4 4 4 4 1 1 1 2 2 2
37 2954 2968                                                                        3 3 4 4 4 4 4 4 4 4 4 1 1 1 2
38 2953 2967                                                                     3 3 3 4 4 6 6 6 6 6 4 4 1 1 1
39 2952 2966                                                                  3 3 1 1 4 4 6 6 6 6 6 4 4 1 1
40 2950 2965                                                            3 3 3 1 1 1 4 4 6 6 7 6 6 4 4 1
41 2948 2965                                                      1 1 1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1
42 2946 2965                                                1 1 1 1 1 1 1 1 1 1 4 4 6 6 6 6 6 4 4 1
43 2945 2965                                             1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 1 
44 2944 2965                                          1 1 3 3 3 3 3 1 1 1 1 1 4 4 4 4 4 4 4 4 4 1 
45 2943 2965                                       1 1 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
46 2942 2965                                    1 1 3 3 3 3 3 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
47 2941 2965                                 1 1 1 3 3 3 3 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
48 2940 2964                              1 1 1 3 3 3 3 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
49 2940 2964                              1 1 3 3 3 3 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
50 2941 2964                                 1 3 3 3 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
51 2942 2964                                    3 3 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
52 2943 2964                                       5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
53 2945 2963                                             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
54 2946 2963                                                1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
55 2947 2963                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
56 2949 2963                                                         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
57 2950 2964                                                            1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 
58 2949 2965                                                         1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2
59 2948 2965                                                      1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1
60 2946 2966                                                1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1
61 2945 2966                                             1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1
62 2944 2966                                          1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1
63 2943 2967                                       1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1
64 2944 2967                                          1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1
65 2945 2968                                             1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
66 2946 2968                                                1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1

