#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020206 平舒 云中 并州 小型县城 4
65 3021 3023                                                                                        3 5 3
66 3021 3027                                                                                        5 5 5 5 5 3 3
67 3021 3030                                                                                        3 3 3 3 3 5 5 5 5 5
68 3021 3032                                                                                        3 3 3 5 5 5 5 5 5 5 5 5
69 3018 3035                                                                               3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5
70 3016 3038                                                                         3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 3 3
71 3013 3040                                                                3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 3 3 3 5 5 5 5 3 3 3 3 3 3 
72 3011 3040                                                          1 1 3 3 3 1 1 1 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 1 1 1 1 1 3 
73 3010 3040                                                       1 1 1 1 1 1 1 1 1 1 3 3 1 1 3 3 1 1 3 1 1 1 1 3 1 1 1 1 1 1 1
74 3010 3040                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2
75 3010 3040                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
76 3010 3040                                                       1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1
77 3010 3040                                                       1 1 1 1 1 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
78 3010 3040                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
79 3011 3040                                                          1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
80 3011 3040                                                          1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
81 3012 3040                                                             5 5 5 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
82 3013 3040                                                                5 5 5 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
83 3014 3040                                                                   5 5 3 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
84 3015 3040                                                                      5 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
85 3015 3040                                                                      5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
86 3014 3040                                                                   5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
87 3013 3040                                                                5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
88 3012 3040                                                             5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
89 3012 3040                                                             5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
90 3012 3040                                                             5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
91 3012 3040                                                             5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
92 3012 3040                                                             5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
93 3011 3040                                                          5 5 1 1 5 5 1 1 5 5 5 1 1 1 1 1 1 1 5 5 1 1 1 5 5 5 5 1 1 1
94 3010 3040                                                       5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
95 3010 3040                                                       5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
96 3022 3028                                                                                           5 5 5 5 5 5 5                                                                                   
