#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020705 广武 雁门 并州 小型县城 4
111 2942 2943                                                                                                       5 5
112 2939 2944                                                                                              5 5 5 5 5 5
113 2937 2944                                                                                        5 5 5 5 5 5 5 5
114 2936 2945                                                                                     5 5 5 5 5 5 5 5 5 5
115 2935 2945                                                                                  5 5 5 5 5 5 5 5 5 5 5
116 2934 2946                                                                               5 5 5 5 5 5 5 5 5 5 5 5 5
117 2933 2946                                                                            5 5 5 5 5 5 5 5 5 5 5 5 5 5
118 2932 2946                                                                         5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
119 2931 2947                                                                      5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
120 2929 2947                                                                5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
121 2928 2948                                                             5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1
122 2926 2949                                                       5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1
123 2919 2950                                  5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 4 4 4 4 4 1
124 2920 2951                                     5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1
125 2920 2952                                     5 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1
126 2920 2952                                     5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1
127 2920 2953                                     5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 2
128 2920 2953                                     5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2
129 2921 2954                                        5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
130 2922 2954                                           5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1
131 2923 2955                                              5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1
132 2925 2956                                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1
133 2927 2957                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 5 5
134 2929 2957                                                                1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 5 5
135 2931 2958                                                                      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 5 5 5 5 5
136 2932 2958                                                                         1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 5 5 5 5 5 5 5
137 2933 2959                                                                            1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 5 5 5 5 5 5 5 5 5 5
138 2934 2959                                                                               1 1 1 2 2 2 2 2 2 2 2 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5
139 2935 2960                                                                                  2 2 2 2 2 2 2 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
140 2936 2961                                                                                     1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
141 2938 2961                                                                                           1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
142 2940 2961                                                                                                 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
143 2942 2960                                                                                                       5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
144 2943 2960                                                                                                          5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
145 2944 2959                                                                                                             5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
146 2946 2959                                                                                                                   5 5 5 5 5 5 5 5 5 5 5 5 5 5
147 2948 2959                                                                                                                         5 5 5 5 5 5 5 5 5 5 5 5
148 2949 2958                                                                                                                            5 5 5 5 5 5 5 5 5 5
149 2950 2958                                                                                                                               5 5 5 5 5 5 5 5 5
150 2952 2958                                                                                                                                     5 5 5 5 5 5 5
151 2953 2957                                                                                                                                        5 5 5 5 5
