#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020912 故绛 平阳 并州 小型县城 4
372 2885 2885                                                                                    1
373 2883 2886                                                                              1 1 3 3
374 2881 2887                                                                        1 3 3 3 3 3 3
375 2865 2867                        1 1 1
375 2879 2888                                                                  3 3 3 3 3 3 3 3 3 3
376 2865 2869                        1 1 1 1 1
376 2877 2889                                                            3 3 3 3 3 3 3 3 3 3 3 3 3
377 2865 2871                        1 1 1 1 1 1 1
377 2874 2889                                                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
378 2865 2872                        1 1 1 1 1 3 3 3
378 2874 2889                                                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
379 2865 2889                        1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
380 2865 2889                        1 1 1 3 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
381 2865 2888                        1 1 1 3 3 3 3 3 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3
382 2865 2888                        1 1 1 1 3 1 1 2 2 1 1 3 3 3 1 1 1 3 1 1 1 1 3 3
383 2865 2888                        1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
384 2865 2887                        1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
385 2865 2887                        1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
386 2865 2887                        1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
387 2865 2886                        1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
388 2865 2886                        1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
389 2865 2886                        1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
390 2865 2885                        1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
391 2865 2885                        1 1 2 2 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 3
392 2865 2885                        1 1 2 2 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 3 3
393 2865 2884                        1 2 2 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 3
394 2865 2884                        2 2 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 3
395 2865 2884                        2 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 3 3 3
396 2865 2883                        1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
397 2865 2883                        1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
398 2868 2883                                 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
399 2871 2882                                          1 1 1 1 1 1 1 1 3 3 3 3
400 2874 2882                                                   1 1 1 3 3 3 3 3 3
401 2877 2882                                                            3 3 3 3 3 3
402 2877 2882                                                            3 3 3 3 3 3
403 2877 2882                                                            3 3 3 3 3 3
404 2877 2882                                                            3 3 3 3 3 3
405 2876 2883                                                         3 3 3 3 3 3 3 3
406 2876 2883                                                         3 3 3 3 3 3 3 3
407 2876 2883                                                         3 3 3 3 3 3 3 3
408 2875 2884                                                      3 3 3 3 3 3 3 3 3 3
409 2875 2884                                                      3 3 3 3 3 3 3 3 3 3
410 2875 2884                                                      3 3 3 3 3 3 3 3 3 3
411 2874 2885                                                   3 3 3 3 3 3 3 3 3 3 3 3
412 2874 2885                                                   3 3 3 3 3 3 3 3 3 3 3 3
413 2874 2885                                                   3 3 3 3 3 3 3 3 3 3 3 3
414 2875 2884                                                      3 3 3 3 3 3 3 3 3 3
415 2875 2884                                                      3 3 3 3 3 3 3 3 3 3
416 2875 2884                                                      3 3 3 3 3 3 3 3 3 3
417 2876 2883                                                         3 3 3 3 3 3 3 3
418 2876 2883                                                         3 3 3 3 3 3 3 3
419 2876 2883                                                         3 3 3 3 3 3 3 3
420 2877 2882                                                            3 3 3 3 3 3
421 2877 2882                                                            3 3 3 3 3 3
422 2877 2882                                                            3 3 3 3 3 3
423 2878 2881                                                               3 5 5 3
424 2878 2881                                                               3 5 5 5
425 2878 2881                                                               5 5 5 5
