#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020913 曲沃 平阳 并州 大型县城 7
375 2862 2864                                                                                    1 1 1
376 2858 2864                                                                        1 1 1 1 1 1 1
377 2854 2864                                                            1 1 1 1 1 1 1 1 1 1 1
378 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
379 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
380 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
381 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
382 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
383 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
384 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
385 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
386 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
387 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
388 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
389 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
390 2851 2864                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1
391 2845 2864                                 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
392 2845 2864                                 2 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1
393 2845 2864                                 2 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1
394 2845 2864                                 2 1 1 1 1 1 1 1 1 1 1 2 2 4 6 7 6 4 2 2
395 2845 2864                                 2 1 1 1 1 1 1 1 2 2 2 2 2 4 6 6 6 4 2 2
396 2845 2864                                 1 1 1 1 1 2 2 2 2 2 2 1 1 4 4 4 4 4 1 1
397 2843 2864                           2 2 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
398 2842 2862                        2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
399 2842 2858                        2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
400 2842 2854                        2 2 1 1 1 1 1 1 1 1 1 1 1
401 2843 2850                           2 1 1 1 1 1 1 1
402 2844 2846                              1 1 1
