#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020906 杨县 平阳 并州 中型县城 5
329 2850 2850         3
330 2850 2855         3 3 3 1 1 1
330 2862 2863                                             1 1
331 2850 2856         3 3 1 1 1 1 1
331 2861 2865                                          1 1 1 1 1 
332 2850 2857         3 3 1 1 1 1 1 2
332 2860 2867                                       1 1 1 1 1 1 1 1
333 2850 2857         3 3 1 1 1 1 1 2
333 2859 2869                                    2 1 1 1 1 1 1 1 1 1 1
334 2850 2871         3 3 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
335 2850 2872         3 3 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 5
336 2850 2872         3 3 1 1 1 1 1 2 2 2 1 4 4 4 4 4 1 1 1 1 1 1 5
337 2850 2872         3 3 1 1 1 1 1 2 2 2 1 4 6 6 6 4 1 1 1 1 1 1 5
338 2850 2872         3 3 1 1 1 1 1 2 2 2 1 4 6 7 6 4 1 1 1 1 1 1 5
339 2850 2872         3 3 1 1 1 1 1 2 2 2 1 4 6 6 6 4 1 1 1 1 1 1 5
340 2851 2872            3 1 1 1 1 1 2 2 2 1 4 4 4 4 4 1 1 1 1 1 1 5
341 2852 2872               1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 5
342 2853 2872                  1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 5
343 2854 2872                     1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 5
344 2855 2872                        1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
345 2856 2872                           2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
346 2857 2872                              2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
347 2858 2872                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
348 2859 2872                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1
349 2860 2872                                       1 1 1 1 1 1 1 1 1 1 1 1 1
350 2861 2872                                          1 1 1 1 1 1 1 1 1 1 1 1
351 2862 2870                                             1 1 1 1 1 1 1 1 1
352 2863 2870                                                1 1 1 1 1 1 1 1
353 2864 2870                                                   1 1 1 1 1 1 1
354 2865 2870                                                      1 1 1 1 1 1
355 2866 2870                                                         1 1 1 1 1
