#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020405 沁县 上党 并州 小型县城 3
287 2908 2909             3 3
288 2908 2910             3 3 3
289 2908 2911             3 3 3 3
290 2908 2913             3 3 3 3 3 3
291 2908 2915             3 3 3 3 3 3 3 3
292 2908 2916             3 3 3 3 3 3 3 3 3
293 2907 2917          3 3 3 3 3 3 3 3 3 3 3
294 2907 2919          3 3 3 3 3 3 3 3 3 3 3 3 3
295 2909 2920                3 3 3 3 3 3 3 3 3 1 1 1
296 2908 2921             3 3 3 3 3 3 3 3 1 1 1 1 1 1
297 2908 2921             3 3 3 3 3 1 1 1 1 1 1 1 1 1
298 2908 2921             3 3 3 1 1 1 1 1 1 1 1 1 1 1
299 2907 2921          3 3 3 1 1 1 1 1 1 1 1 1 1 1 1
300 2908 2921             3 3 3 1 1 1 1 1 1 1 1 1 1 1
301 2907 2921          3 3 3 1 1 1 1 1 1 1 1 1 1 1 1
302 2908 2921             3 3 3 1 1 4 4 4 4 4 1 1 1 1
303 2908 2921             3 3 3 1 1 4 6 6 6 4 1 1 1 1
304 2909 2921                3 3 3 1 4 6 7 6 4 1 1 1 1
305 2908 2921             3 3 3 1 1 4 6 6 6 4 1 1 1 1
306 2908 2922             3 3 3 1 1 4 4 4 4 4 1 1 1 1 1
307 2909 2923                3 3 1 1 1 1 1 1 1 1 1 1 1 1 1
308 2908 2923             3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1
309 2909 2923                3 3 3 1 1 1 1 1 1 1 1 1 1 1 1
310 2908 2923             3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1
311 2908 2922             3 3 3 1 1 1 1 1 1 1 1 1 1 1 1
312 2907 2922          3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1
313 2909 2921                3 3 3 1 1 1 1 1 1 1 1 1 1
314 2907 2921          3 3 3 1 1 1 1 1 1 1 1 1 1 1 1
315 2907 2920          3 3 3 1 1 1 1 1 1 1 1 1 1 1
316 2908 2920             3 3 3 1 1 1 1 1 1 1 1 1 1
317 2908 2919             3 3 3 1 1 1 1 1 1 1 1 1
318 2907 2919          3 3 3 1 1 1 1 1 1 1 1 1 1
319 2908 2918             3 3 3 1 1 1 1 1 1 1 1
320 2908 2918             3 3 3 1 1 1 1 1 1 1 1
321 2908 2918             3 3 3 1 1 1 1 1 1 1 1
322 2908 2917             3 3 3 1 1 1 1 1 1 1
323 2907 2917          3 3 3 3 1 1 1 1 1 1 1
324 2909 2917                3 3 3 1 1 1 1 1 1
325 2909 2916                3 3 3 3 1 1 1 1
326 2907 2916          3 3 3 3 3 3 3 1 1 1
327 2907 2916          3 3 3 3 3 3 3 1 1 1
328 2909 2915                3 3 3 3 3 1 1
329 2908 2915             3 3 3 3 3 1 1 1
330 2908 2915             3 3 3 3 3 3 1 1
331 2912 2915                         1 1 1 1
332 2913 2915                            1 1 1
