#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020607 河曲 朔方 并州 小型县城 4
96 2847 2848                                                                                  1 1                                     
97 2846 2849                                                                               1 1 1 1
98 2845 2852                                                                            1 1 1 1 1 1 1 1
99 2843 2853                                                                      1 1 1 1 1 1 1 1 1 1 1
100 2841 2854                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1
101 2842 2855                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1
102 2843 2856                                                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1
103 2844 2857                                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1
104 2845 2858                                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 1
105 2845 2859                                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
106 2846 2860                                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
107 2846 2861                                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
108 2847 2862                                                                             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
109 2847 2863                                                                             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
110 2847 2865                                                                             1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
111 2846 2864                                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
112 2845 2864                                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
113 2844 2864                                                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
114 2843 2863                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
115 2842 2863                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
116 2841 2863                                                           2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
117 2840 2862                                                        2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
118 2839 2862                                                     2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
119 2838 2861                                                  2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3
120 2837 2860                                               2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
121 2836 2859                                            2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
122 2835 2858                                         2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3
123 2834 2857                                      2 2 2 2 2 1 4 4 4 4 4 1 1 1 1 1 1 1 3 3 3 3 3 3
124 2834 2856                                      2 2 2 2 2 1 4 6 6 6 4 1 1 1 1 1 1 1 3 3 3 3 3
125 2833 2855                                   2 2 2 2 2 1 1 4 6 7 6 4 1 1 1 1 1 1 3 3 3 3 3
126 2833 2854                                   2 2 2 2 2 1 1 4 6 6 6 4 1 1 1 1 1 1 3 3 3 3
127 2832 2853                                2 2 2 2 2 1 1 1 4 4 4 4 4 1 1 1 1 1 3 3 3 3
128 2832 2853                                2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
129 2831 2853                             2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
130 2830 2852                          2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
131 2830 2852                          2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
132 2829 2851                       2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
133 2831 2851                             2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
134 2832 2850                                2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
135 2833 2849                                   2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
136 2834 2848                                      1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
137 2835 2847                                         1 1 1 1 1 1 1 1 1 1 1 3  3
138 2836 2846                                            1 1 1 1 1 1 1 1 1 1 1
139 2837 2845                                               1 1 1 1 1 1 1 1 1
140 2838 2844                                                  1 1 1 1 1 1 1
141 2839 2843                                                     1 1 1 1 1
142 2840 2842                                                        1 1 1
