#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020304 沾县 乐平 并州 中型县城 5
234 2959 2959                   3
235 2959 2961                   3 3 3
236 2959 2963                   3 3 3 3 3
237 2959 2966                   3 3 3 3 3 3 3 3
238 2959 2969                   3 3 3 3 3 3 3 3 3 3 3
239 2959 2972                   3 3 3 3 3 3 3 3 3 3 3 3 3 3
240 2959 3018                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
241 2959 3017                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
242 2959 3016                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
243 2959 3015                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
244 2959 3014                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
245 2959 3013                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
246 2959 3012                   3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
247 2958 3011                3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 1 3 1 1 3 1 3 3 1 3 3 3 1 1 3 1 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
248 2958 3010                3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
249 2958 3009                3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
250 2958 3008                3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5
251 2958 3007                3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 3 5 5 5 5 5 5 5 5 5 5 5 5 5
252 2958 3006                3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 3 5 5 5 5 5 5 5 5 5 5 5 5
253 2958 2967                3 3 3 3 3 3 3 3 3 3 
253 2972 3004                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 3 5 5 5 5 5 5 5 5 5 5
254 2960 2965                      3 3 3 3 3 3 
254 2975 3003                                                                   1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 5 5 5 5 5 5 5 5
255 2963 2963                               3
255 2983 3003                                                                                           1 1 1 1 1 1 1 1 1 3 3 3 5 5 5 5 5 5 5 5 5
256 2985 3002                                                                                                 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5
257 2987 3002                                                                                                       3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5
258 2990 3001                                                                                                                3 3 3 3 3 3 5 5 5 5 5 5
259 2993 3000                                                                                                                         3 3 3 5 5 5 5 5
