#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020609 神武 朔方 并州 小型县城 3
98 2885 2887                                                                                    5 5 5
99 2884 2887                                                                                 5 5 5 5
100 2883 2888                                                                            5 5 5 5 5 5
101 2882 2888                                                                         5 5 5 5 5 5 5
102 2881 2889                                                                      5 5 5 5 5 5 5 5 5
103 2880 2890                                                                   3 3 3 3 5 5 5 5 5 5 5
104 2879 2891                                                                3 3 3 3 3 3 5 5 5 5 5 5 5
105 2878 2892                                                             3 3 3 3 3 5 5 5 5 5 5 5 5 5 5
106 2877 2893                                                          3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5
107 2874 2893                                                 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5
108 2873 2893                                              3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5
109 2872 2894                                           3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5
110 2871 2894                                        3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5
111 2870 2895                                     3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5
112 2870 2895                                     3 3 3 3 3 3 3 3 5 1 5 1 5 1 1 5 1 1 5 5 5 5 5 5 5 5
113 2871 2896                                        3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 5 5 5 1 5 5 5 5 5
114 2871 2897                                        3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
115 2871 2898                                        3 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
116 2872 2899                                           1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5
117 2873 2900                                              1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 1
118 2874 2901                                                 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 1 1
119 2875 2902                                                    1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 1 1 1 1
120 2875 2903                                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 1 1 1 1 1
121 2876 2904                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 1 1 1 1 1 1 1
122 2876 2905                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1
123 2877 2906                                                          1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1 1
124 2878 2905                                                             1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1 1 1
125 2879 2904                                                                1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 1 1 1 1 1
126 2880 2903                                                                   1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 1
127 2881 2901                                                                      1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1
128 2882 2900                                                                         1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
129 2883 2898                                                                            1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
130 2884 2897                                                                               5 5 5 5 5 5 5 5 5 5 5 5 5 5
131 2885 2896                                                                                  5 5 5 5 5 5 5 5 5 5 5 5
132 2886 2895                                                                                     5 5 5 5 5 5 5 5 5 5
133 2887 2894                                                                                        5 5 5 5 5 5 5 5
134 2888 2892                                                                                           5 5 5 5 5
135 2889 2891                                                                                              5 5 5
136 2890 2890                                                                                                 5

