#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020115 邬县 太原 并州 中型县城 5
281 2870 2870                                                                           1
282 2869 2871                                                                        1 1 1
283 2869 2871                                                                        1 1 1
284 2868 2872                                                                     1 1 1 1 1
285 2868 2873                                                                     1 1 1 1 1 1
286 2867 2873                                                                  1 1 1 1 1 1 1
287 2867 2873                                                                  1 1 1 1 1 1 1
288 2866 2873                                                               1 1 1 1 1 1 1 1
289 2865 2873                                                            1 1 1 1 1 1 1 1 1
290 2861 2873                                                2 2 2 1 1 1 1 1 1 1 1 1 1
291 2855 2874                              1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1
292 2856 2875                                 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1
293 2857 2875                                    3 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 5
294 2858 2875                                       3 1 1 1 2 2 2 1 1 4 4 4 4 4 1 1 5 5
295 2859 2876                                          3 3 3 2 2 2 1 1 4 6 6 6 4 1 1 5 5 5
296 2857 2876                                    3 3 3 3 3 1 2 2 2 1 4 6 7 6 4 1 1 5 5 5
297 2855 2877                              3 3 3 3 3 3 3 1 2 2 2 1 4 6 6 6 4 1 1 5 5 5 5
298 2853 2877                        3 3 3 3 3 3 3 3 3 1 2 2 2 1 4 4 4 4 4 1 1 5 5 5 5
299 2852 2878                     3 3 3 3 3 3 3 3 3 3 1 2 2 2 1 1 1 1 1 1 1 1 5 5 5 5 5
300 2857 2879                                    3 3 3 3 3 1 2 2 2 1 1 1 1 1 1 1 1 1 5 5 5 5 5
301 2857 2880                                    3 3 3 3 3 1 2 2 2 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5
302 2857 2880                                    3 3 3 3 1 1 2 2 2 1 1 1 1 1 1 1 3 5 5 5 5 5 5 5
303 2858 2880                                       3 3 3 1 1 2 2 2 1 1 1 1 1 1 1 3 5 5 5 5 5 5 5
304 2858 2880                                       3 3 1 1 2 2 2 1 1 1 1 1 1 1 1 3 5 5 5 5 5 5 5
305 2858 2879                                       3 3 1 1 2 2 2 1 1 1 1 1 1 1 1 3 5 5 5 5 5 5
306 2859 2880                                          3 1 1 2 2 2 1 1 1 1 1 1 1 3 5 5 5 5 5 5 5 5
307 2859 2879                                          3 1 2 2 2 1 1 1 1 1 1 1 1 3 5 5 5 5 5 5 5
308 2859 2879                                          3 1 2 2 2 1 1 1 1 1 1 1 3 3 5 5 5 5 5 5 5
309 2860 2880                                             1 2 2 2 1 1 1 1 1 1 3 3 5 5 5 5 5 5 5 5 5
310 2860 2879                                             1 2 2 2 1 1 1 1 1 3 5 5 5 5 5 5 5 5 5 5
311 2860 2880                                             2 2 2 1 1 1 1 1 3 5 5 5 5 5 5 5 5 5 5 5 5
312 2861 2880                                                2 2 1 1 1 1 1 3 5 5 5 5 5 5 5 5 5 5 5 5
313 2861 2879                                                2 2 1 1 1 1 3 3 5 5 5 5 5 5 5 5 5 5 5
314 2861 2880                                                2 1 1 1 1 1 3 5 5 5 5 5 5 5 5 5 5 5 5 5
315 2862 2875                                                   1 1 1 1 3 3 3 5 5 5 5 5 5 5
316 2862 2872                                                   1 1 1 3 3 3 5 5 5 5 5 
317 2862 2869                                                   1 1 3 3 3 3 5 5
