#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020502 长平 建兴 并州 大型县城 7
370 2922 2924         3 3 3
371 2922 2927         3 3 3 3 1 1
372 2922 2932         3 3 3 3 1 1 3 3 1 1 3
373 2922 2935         3 3 3 3 1 1 3 3 1 1 3 3 3 3
374 2922 2938         3 3 3 3 1 1 3 3 3 1 1 3 3 3 3 3 3
375 2922 2941         3 3 3 1 1 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3
376 2922 2944         3 3 3 1 1 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3     
377 2922 2947         3 3 3 1 1 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3
378 2922 2952         3 3 3 1 1 3 3 3 3 3 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
379 2922 2952         3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
380 2922 2951         3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3
381 2922 2951         3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3
382 2922 2950         3 3 3 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3
383 2922 2950         3 3 3 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
384 2922 2950         3 3 3 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
385 2922 2950         3 3 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
386 2922 2950         3 3 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
387 2922 2950         3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
388 2922 2950         3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
389 2922 2950         3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
390 2922 2950         3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
391 2922 2950         3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
392 2922 2950         3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
393 2922 2950         3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
394 2922 2950         3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
395 2922 2950         3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
396 2931 2950                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
397 2932 2941                                       1 1 1 1 1 1 1 1 1 1
397 2943 2948                                                                        1 1 1 1 1 1
398 2934 2939                                             1 1 1 1 1 1
398 2945 2946                                                                              1 1
399 2936 2937                                                   1 1      
