#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020205  马城 云中 并州 大型县城 6
1 3021 3023                                                                 1 1 1
2 3020 3025                                                              1 1 1 1 1 1
3 3020 3027                                                              1 1 1 1 1 1 1 1
4 3019 3029                                                           1 1 1 1 5 5 5 5 5 5 1
5 3019 3032                                                           5 5 5 5 5 5 5 5 5 5 5 5 5 5
6 3019 3034                                                           5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
7 3018 3035                                                        5 5 5 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5
8 3018 3036                                                        5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5
9 3018 3037                                                        5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2
10 3018 3038                                                      5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1
11 3018 3039                                                      3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1
12 3017 3040                                                   3 3 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1
13 3017 3041                                                   3 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1
14 3016 3041                                                3 3 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1
15 3015 3042                                             3 3 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1
16 3013 3042                                       3 3 3 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
17 3011 3043                                 3 3 3 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
18 3009 3043                           3 3 3 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1
