#第一行名字内容，以后每行为高度 起始宽度 终止宽度 地域类型
1020204 高柳 云中 并州 中型县城 5
17 3000 3001                                                                                           5 5            
18 2999 3002                                                                                        5 5 5 5
19 2998 3003                                                                                     5 5 1 1 1 5           
20 2997 3005                                                                                  5 5 1 1 1 1 1 5 5
21 2995 3005                                                                            5 5 1 1 1 1 1 1 1 1 5
22 2993 3005                                                                      5 5 1 1 1 1 1 1 1 1 1 1 1
23 2990 3005                                                             5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1
24 2987 3005                                                    5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1
25 2984 3005                                           5 1 1 5 5 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1
26 2981 3005                                  5 5 3 5 3 1 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
27 2978 3004                         5 5 5 3 3 3 5 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
28 2975 3004                5 5 5 5 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
29 2975 3004                5 5 5 5 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
30 2976 3004                   5 5 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  
31 2976 3004                   5 5 3 3 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1  
32 2976 3004                   5 3 3 3 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 1 1 1  
33 2975 3004                5 5 3 1 1 1 1 1 1 1 1 1 1 1 4 6 7 6 4 1 1 1 1 1 1 1 1 1 1 2
34 2975 3004                5 3 1 1 1 1 1 1 1 1 1 1 1 1 4 6 6 6 4 1 1 1 1 1 1 1 1 2 2 2
35 2976 3004                   1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 1 1 1 1 1 1 1 2 2 2 2
36 2977 3004                      1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2
37 2978 3004                         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1
38 2979 3005                            1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 
39 2980 3005                               1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1
40 2981 3005                                  1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1
41 2982 3005                                     1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1
42 2983 3007                                        1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
43 2985 3009                                              1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
44 2987 3011                                                    1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
45 2989 3013                                                          1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
46 2991 3014                                                                1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
47 2993 3015                                                                      1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
48 2995 3016                                                                            2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
49 2997 3017                                                                                  1 1 1 1 1 1 1 1 3 3 3 1 3 1 3 1 1 1 1 1 1
50 2998 3018                                                                                     1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 1 3 1 1 1 1
51 3000 3018                                                                                           1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 1 3 1
52 3001 3018                                                                                              1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
53 3002 3017                                                                                                 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3
54 3003 3012                                                                                                       1 3 3 3 3 3 3 3 3
54 3015 3017                                                                                                                                                  3 3 3
55 3004 3011                                                                                                       1 1 1 3 3 3 1 3 
55 3015 3017                                                                                                                                         1 3 3
56 3005 3010                                                                                                          1 1 1 1 1 3
56 3015 3016                                                                                                                                      1 3
57 3005 3009                                                                                                          1 1 1 1 1
58 3005 3011                                                                                                          1 1 1 1 1 1 1
59 3005 3013                                                                                                          1 1 1 1 1 1 1 1 1
60 3005 3015                                                                                                          1 1 1 1 1 1 1 1 1 1 1
61 3005 3017                                                                                                          1 1 1 1 1 1 1 1 1 1 1 1 1
62 3004 3018                                                                                                       1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
63 3003 3019                                                                                                    1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
64 3002 3020                                                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
65 3001 3020                                                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
66 3001 3020                                                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
67 3001 3020                                                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
68 3001 3020                                                                                              1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
69 3002 3017                                                                                                 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
70 3003 3015                                                                                                    1 1 1 1 1 1 1 1 1 1 1 1 1
71 3004 3012                                                                                                       1 1 1 1 1 1 1 1 1
72 3007 3010                                                                                                                1 1 1 1
73 3008 3009                                                                                                                   1 1
